CRUISEINFO ,,,,,,,,,,
90,COUNTRY CODE,RUSSIA,,,,,,,,
224,PROJECT,DATA ARCHAEOLOGY AND RESCUE,,,,,,,,
1037,INSTITUTE,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,PLATFORM,,,,,,,,,
,CRUISE,,,,,,,,,
,REFERENCE,,,,,,,,,
1037,COUNTING,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
1037,VOUCHER,ZOOLOGICAL INSTITUTE RUSSIAN ACADEMY OF SCIENCE,,,,,,,,
,NUMBER,,,,,,,,,

STATION,5889,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,2,15,1977

HEADERS,,, , , ,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,,,,
MESH SIZE,0.168,MM,,,,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,-1.2,24.8,1,0,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,-1,26.8,0,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,-0.7,27.7,1,1,0,ACARTIA LONGIREMIS   Cop 
,15,-0.5,27.7,0,0,0,ACARTIA LONGIREMIS   Juv 
,25,-0.5,28.6,0,0,0,ACARTIA LONGIREMIS   Naup 
,50,-0.9,29,0,0,1,AGLANTHA DIGITALE
,65,-0.9,29.2,0,0,0,ASCIDIA Larvae
,,,,1,0,1,CALANUS GLACIALIS   Male  Cop 6
,,,,1,0,0,CALANUS GLACIALIS   Cop 5
,,,,2,0,1,CALANUS GLACIALIS   Cop 4
,,,,1,2,1,GASTROPODA Larvae
,,,,0,0,12,METRIDIA LONGA   Female  Cop 6
,,,,0,0,15,METRIDIA LONGA   Male  Cop 6
,,,,0,1,5,METRIDIA LONGA   Cop 5
,,,,0,0,14,METRIDIA LONGA   Cop 4
,,,,1,4,6,METRIDIA LONGA   Cop 3
,,,,0,0,14,METRIDIA LONGA   Cop 2
,,,,0,0,3,METRIDIA LONGA   Cop 1
,,,,0,1,1,MICROSETELLA NORVEGICA   Cop 
,,,,50,7,0,OITHONA SIMILIS   Female  Cop 6
,,,,10,4,1,OITHONA SIMILIS   Male  Cop 6
,,,,1000,141,5,OITHONA SIMILIS   Cop 
,,,,50,108,82,ONCAEA BOREALIS   Female  Cop 6
,,,,10,35,3,ONCAEA BOREALIS   Male  Cop 6
,,,,10,71,3,ONCAEA BOREALIS   Cop ,,,
,,,,3,0,0,POLYCHAETA Larvae,,,
,,,,10,35,28,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,1,4,14,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,20,108,28,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,50,108,56,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,0,0,28,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,0,4,0,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,30,0,0,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,1,2,2,SAGITTA ELEGANS,,,
STATION,5960,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,4,27,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,,,,
LONG END,33,39.4,,E,,,
BOTTOM DEPTH,65,m,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,
COMMENTS,UNDER ICE MESUREMENTS,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,,,,1,0,0,ACARTIA LONGIREMIS   Female  Cop 6
,,,,1,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,,,,5,0,0,ACARTIA LONGIREMIS   Cop 
,,,,3,1,1,CALANUS GLACIALIS   Male  Cop 6
,,,,1,2,1,CALANUS GLACIALIS   Cop 4
,,,,5,0,0,CIRRIPEDIA  Naup 
,,,,1,0,0,EVADNE NORDMANNI
,,,,1,13,3,GASTROPODA Larvae
,,,,0,0,1,METRIDIA LONGA   Female  Cop 6
,,,,0,0,1,METRIDIA LONGA   Male  Cop 6
,,,,0,1,5,METRIDIA LONGA   Cop 4
,,,,0,0,8,METRIDIA LONGA   Cop 3
,,,,0,0,1,METRIDIA LONGA   Cop 2
,,,,1,0,0,MICROSETELLA NORVEGICA   Cop 
,,,,0,1,1,OICOPLEURA VANHOFFENIS
,,,,400,20,26,OITHONA SIMILIS   Female  Cop 6
,,,,200,7,26,OITHONA SIMILIS   Male  Cop 6
,,,,4700,536,78,OITHONA SIMILIS   Cop 
,,,,0,1,0,OITHONA SIMILIS   Naup 
,,,,100,134,78,ONCAEA BOREALIS   Female  Cop 6
,,,,5,20,3,ONCAEA BOREALIS   Male  Cop 6,,,
,,,,10,13,3,ONCAEA BOREALIS   Cop ,,,
,,,,30,7,1,POLYCHAETA Larvae,,,
,,,,300,268,156,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,10,20,26,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,200,20,52,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,200,67,8,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,200,67,8,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,20,7,0,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,600,20,8,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,1,1,0,SAGITTA ELEGANS,,,
STATION,5995,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,1,1977

HEADERS,,, , , ,,,,,
LAT END,66,19.5,,N,,,
LONG END,33,39.4,,E,,,
BOTTOM DEPTH,65,m,,,,,
GEAR,Juday Net (Tropical or Large),,,,,,
MESH SIZE,0.168,MM,,,,,
MOUTH AREA,0.1,M2,,,,,
MOUTH DIAM,0.36,M,,,,,
PRESERVATIVE,FORMALIN,,,,,,

DETAILS,DEPTH,TEMP,SAL,TAX CNT B0-10,TAX CNT B10-25,TAX CNT B25-65,TAX NAME
units,m,C,psu,#/M3,#/M3,#/M3,
decimal places,0,1,1,0,0,0,Name
,0,6.8,20.2,5,2,0,ACARTIA LONGIREMIS   Female  Cop 6
,5,5.2,25.3,1,0,0,ACARTIA LONGIREMIS   Male  Cop 6
,10,2.6,25.6,5,0,0,ACARTIA LONGIREMIS   Cop 
,15,1.5,26.5,200,13,3,ACARTIA LONGIREMIS   Juv 
,25,-0.7,27.9,200,67,9,ACARTIA LONGIREMIS   Naup 
,50,-0.9,28.1,0,0,1,AGLANTHA DIGITALE
,65,-0.9,28.6,0,0,0,ASCIDIA Larvae
,,,,0,0,1,CALANUS GLACIALIS   Male  Cop 6
,,,,14,3,2,CALANUS GLACIALIS   Cop 5
,,,,0,1,0,CALANUS GLACIALIS   Cop 2
,,,,3,67,6,CALANUS GLACIALIS   Cop 1
,,,,300,400,57,CALANUS GLACIALIS   Naup 
,,,,3,0,0,CENTROPAGES HAMATUS   Cop 
,,,,30,3,3,CENTROPAGES HAMATUS   Juv
,,,,20,7,3,CENTROPAGES HAMATUS   Naup 
,,,,2200,13,6,CIRRIPEDIA  Naup 
,,,,2,0,0,EVADNE NORDMANNI
,,,,3,0,1,GASTROPODA Larvae
,,,,0,0,19,METRIDIA LONGA   Female  Cop 6
,,,,0,0,14,METRIDIA LONGA   Male  Cop 6
,,,,0,0,12,METRIDIA LONGA   Cop 5
,,,,0,0,57,METRIDIA LONGA   Cop 4
,,,,0,0,1,METRIDIA LONGA   Cop 3
,,,,0,0,1,METRIDIA LONGA   Cop 2
,,,,0,20,9,METRIDIA LONGA   Naup 
,,,,5,1,1,MICROSETELLA NORVEGICA
,,,,3,0,1,MICROSETELLA NORVEGICA   Cop 
,,,,0,1,0,OICOPLEURA VANHOFFENIS
,,,,300,20,0,OITHONA SIMILIS   Female  Cop 6
,,,,100,3,0,OITHONA SIMILIS   Male  Cop 6
,,,,200,13,1,OITHONA SIMILIS   Cop 
,,,,100,0,1,OITHONA SIMILIS   Juv 
,,,,1,268,630,ONCAEA BOREALIS   Female  Cop 6
,,,,0,7,29,ONCAEA BOREALIS   Male  Cop 6
,,,,3,134,86,ONCAEA BOREALIS   Cop 
,,,,1,0,0,PODON LEUCKARTI
,,,,20,134,9,POLYCHAETA Larvae,,,
,,,,5,13,915,PSEUDOCALANUS MINUTUS   Female  Cop 6,,,
,,,,0,3,3,PSEUDOCALANUS MINUTUS   Male  Cop 6,,,
,,,,0,3,86,PSEUDOCALANUS MINUTUS   Cop 5,,,
,,,,10,200,400,PSEUDOCALANUS MINUTUS   Cop 4,,,
,,,,10,268,515,PSEUDOCALANUS MINUTUS   Cop 3,,,
,,,,20,268,114,PSEUDOCALANUS MINUTUS   Cop 2,,,
,,,,30,268,9,PSEUDOCALANUS MINUTUS   Cop 1,,,
,,,,200,67,29,PSEUDOCALANUS MINUTUS   Naup ,,,
,,,,5,2,1,SAGITTA ELEGANS,,,
,,,,3,0,0,TEMORA LONGICORNIS   Naup ,,,
STATION,6007,,,,,,,,,
LAT DEG,LAT MIN,LAT SEC,LAT HEM,LONG DEG,LON MIN,LON SEC,LON HEM,MONTH,DAY,YEAR
66,19.5,,N,33,39.4,,E,6,13,1977

HEADERS,,, , , ,,,,,
