SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007
050,04,005,Arizona,Coconino County,1,0,1,40522,40522,40621,41122,42141,42536,43192,43658,44110,44588
050,04,005,Arizona,Coconino County,1,0,2,847,847,841,867,897,933,983,1008,1041,1062
050,04,005,Arizona,Coconino County,1,0,3,16911,16911,16919,16903,17163,17259,17531,17736,17932,18065
050,04,005,Arizona,Coconino County,1,0,4,608,608,677,729,755,816,840,863,904,937
050,04,005,Arizona,Coconino County,1,0,5,112,112,88,94,103,101,103,107,107,108
050,04,005,Arizona,Coconino County,1,1,1,34487,34487,34515,34930,35634,36025,36407,36636,36902,37286
050,04,005,Arizona,Coconino County,1,1,2,765,765,772,785,809,841,885,907,937,955
050,04,005,Arizona,Coconino County,1,1,3,16406,16406,16405,16382,16632,16714,16972,17168,17358,17484
050,04,005,Arizona,Coconino County,1,1,4,564,564,638,687,711,770,791,812,850,880
050,04,005,Arizona,Coconino County,1,1,5,90,90,72,78,87,85,87,91,90,90
050,04,005,Arizona,Coconino County,1,2,1,6035,6035,6106,6192,6507,6511,6785,7022,7208,7302
050,04,005,Arizona,Coconino County,1,2,2,82,82,69,82,88,92,98,101,104,107
050,04,005,Arizona,Coconino County,1,2,3,505,505,514,521,531,545,559,568,574,581
050,04,005,Arizona,Coconino County,1,2,4,44,44,39,42,44,46,49,51,54,57
050,04,005,Arizona,Coconino County,1,2,5,22,22,16,16,16,16,16,16,17,18
050,04,005,Arizona,Coconino County,2,0,1,39838,39838,39857,40347,41282,41575,42075,42483,42835,43332
050,04,005,Arizona,Coconino County,2,0,2,783,783,807,841,872,910,950,974,1005,1044
050,04,005,Arizona,Coconino County,2,0,3,17742,17742,17795,17799,18129,18243,18552,18787,19028,19138
050,04,005,Arizona,Coconino County,2,0,4,713,713,728,782,838,920,964,1004,1051,1115
050,04,005,Arizona,Coconino County,2,0,5,100,100,90,102,106,113,111,113,115,120
050,04,005,Arizona,Coconino County,2,1,1,34144,34144,34105,34566,35224,35534,35831,36023,36226,36631
050,04,005,Arizona,Coconino County,2,1,2,700,700,738,765,787,821,857,880,907,941
050,04,005,Arizona,Coconino County,2,1,3,17285,17285,17336,17329,17653,17755,18048,18274,18506,18610
050,04,005,Arizona,Coconino County,2,1,4,682,682,692,745,797,878,921,957,1003,1064
050,04,005,Arizona,Coconino County,2,1,5,88,88,70,83,86,92,90,92,94,97
050,04,005,Arizona,Coconino County,2,2,1,5694,5694,5752,5781,6058,6041,6244,6460,6609,6701
050,04,005,Arizona,Coconino County,2,2,2,83,83,69,76,85,89,93,94,98,103
050,04,005,Arizona,Coconino County,2,2,3,457,457,459,470,476,488,504,513,522,528
050,04,005,Arizona,Coconino County,2,2,4,31,31,36,37,41,42,43,47,48,51
050,04,005,Arizona,Coconino County,2,2,5,12,12,20,19,20,21,21,21,21,23
050,04,007,Arizona,Gila County,0,0,1,44086,44086,44092,43813,43825,43388,43264,43197,43645,44135
050,04,007,Arizona,Gila County,0,0,2,275,275,257,298,305,331,338,352,359,384
050,04,007,Arizona,Gila County,0,0,3,7101,7101,7134,7139,7173,7249,7324,7409,7518,7537
050,04,007,Arizona,Gila County,0,0,4,306,306,277,325,347,368,377,398,406,426
050,04,007,Arizona,Gila County,0,0,5,57,57,34,34,37,36,37,37,40,44
050,04,007,Arizona,Gila County,0,1,1,35894,35894,35813,35595,35603,35198,35150,35093,35468,35847
050,04,007,Arizona,Gila County,0,1,2,224,224,212,251,255,280,284,296,303,323
050,04,007,Arizona,Gila County,0,1,3,6780,6780,6797,6789,6809,6874,6935,7010,7113,7130
050,04,007,Arizona,Gila County,0,1,4,269,269,261,306,326,344,353,374,383,404
050,04,007,Arizona,Gila County,0,1,5,46,46,25,25,27,27,28,28,31,35
050,04,007,Arizona,Gila County,0,2,1,8192,8192,8279,8218,8222,8190,8114,8104,8177,8288
050,04,007,Arizona,Gila County,0,2,2,51,51,45,47,50,51,54,56,56,61
050,04,007,Arizona,Gila County,0,2,3,321,321,337,350,364,375,389,399,405,407
050,04,007,Arizona,Gila County,0,2,4,37,37,16,19,21,24,24,24,23,22
050,04,007,Arizona,Gila County,0,2,5,11,11,9,9,10,9,9,9,9,9
050,04,007,Arizona,Gila County,1,0,1,21687,21687,21696,21516,21503,21255,21151,21092,21305,21540
050,04,007,Arizona,Gila County,1,0,2,154,154,147,172,173,186,190,197,202,215
050,04,007,Arizona,Gila County,1,0,3,3505,3505,3519,3523,3515,3559,3606,3633,3683,3691
050,04,007,Arizona,Gila County,1,0,4,130,130,116,142,151,161,165,173,173,178
050,04,007,Arizona,Gila County,1,0,5,26,26,13,13,15,13,13,13,14,16
050,04,007,Arizona,Gila County,1,1,1,17586,17586,17552,17403,17405,17185,17130,17068,17241,17423
050,04,007,Arizona,Gila County,1,1,2,133,133,131,154,154,167,169,174,179,189
050,04,007,Arizona,Gila County,1,1,3,3348,3348,3351,3348,3331,3368,3407,3433,3479,3487
050,04,007,Arizona,Gila County,1,1,4,114,114,109,134,142,151,155,163,163,168
050,04,007,Arizona,Gila County,1,1,5,22,22,9,9,10,9,9,9,10,12
050,04,007,Arizona,Gila County,1,2,1,4101,4101,4144,4113,4098,4070,4021,4024,4064,4117
050,04,007,Arizona,Gila County,1,2,2,21,21,16,18,19,19,21,23,23,26
050,04,007,Arizona,Gila County,1,2,3,157,157,168,175,184,191,199,200,204,204
050,04,007,Arizona,Gila County,1,2,4,16,16,7,8,9,10,10,10,10,10
050,04,007,Arizona,Gila County,1,2,5,4,4,4,4,5,4,4,4,4,4
050,04,007,Arizona,Gila County,2,0,1,22399,22399,22396,22297,22322,22133,22113,22105,22340,22595
050,04,007,Arizona,Gila County,2,0,2,121,121,110,126,132,145,148,155,157,169
050,04,007,Arizona,Gila County,2,0,3,3596,3596,3615,3616,3658,3690,3718,3776,3835,3846
050,04,007,Arizona,Gila County,2,0,4,176,176,161,183,196,207,212,225,233,248
050,04,007,Arizona,Gila County,2,0,5,31,31,21,21,22,23,24,24,26,28
050,04,007,Arizona,Gila County,2,1,1,18308,18308,18261,18192,18198,18013,18020,18025,18227,18424
050,04,007,Arizona,Gila County,2,1,2,91,91,81,97,101,113,115,122,124,134
050,04,007,Arizona,Gila County,2,1,3,3432,3432,3446,3441,3478,3506,3528,3577,3634,3643
050,04,007,Arizona,Gila County,2,1,4,155,155,152,172,184,193,198,211,220,236
050,04,007,Arizona,Gila County,2,1,5,24,24,16,16,17,18,19,19,21,23
050,04,007,Arizona,Gila County,2,2,1,4091,4091,4135,4105,4124,4120,4093,4080,4113,4171
050,04,007,Arizona,Gila County,2,2,2,30,30,29,29,31,32,33,33,33,35
050,04,007,Arizona,Gila County,2,2,3,164,164,169,175,180,184,190,199,201,203
050,04,007,Arizona,Gila County,2,2,4,21,21,9,11,12,14,14,14,13,12
050,04,007,Arizona,Gila County,2,2,5,7,7,5,5,5,5,5,5,5,5
050,04,009,Arizona,Graham County,0,0,1,27458,27458,27428,27387,27061,26774,26571,26805,27282,28484
050,04,009,Arizona,Graham County,0,0,2,733,733,727,760,764,771,778,784,791,850
050,04,009,Arizona,Graham County,0,0,3,5252,5252,5264,5284,5268,5240,5228,5231,5299,5471
050,04,009,Arizona,Graham County,0,0,4,269,269,233,266,266,269,267,267,274,280
050,04,009,Arizona,Graham County,0,0,5,64,64,35,47,48,48,48,47,50,51
050,04,009,Arizona,Graham County,0,1,1,18757,18757,18690,18601,18307,18061,17867,18068,18485,19317
050,04,009,Arizona,Graham County,0,1,2,661,661,665,695,698,703,708,711,717,772
050,04,009,Arizona,Graham County,0,1,3,4984,4984,4988,4985,4971,4943,4925,4927,4992,5164
050,04,009,Arizona,Graham County,0,1,4,239,239,208,240,239,241,238,238,245,251
050,04,009,Arizona,Graham County,0,1,5,40,40,13,25,26,26,26,25,28,28
050,04,009,Arizona,Graham County,0,2,1,8701,8701,8738,8786,8754,8713,8704,8737,8797,9167
050,04,009,Arizona,Graham County,0,2,2,72,72,62,65,66,68,70,73,74,78
050,04,009,Arizona,Graham County,0,2,3,268,268,276,299,297,297,303,304,307,307
050,04,009,Arizona,Graham County,0,2,4,30,30,25,26,27,28,29,29,29,29
050,04,009,Arizona,Graham County,0,2,5,24,24,22,22,22,22,22,22,22,23
050,04,009,Arizona,Graham County,1,0,1,14443,14443,14445,14444,14289,14127,14030,14146,14386,15000
050,04,009,Arizona,Graham County,1,0,2,578,578,577,586,590,594,599,598,601,632
050,04,009,Arizona,Graham County,1,0,3,2680,2680,2691,2704,2701,2687,2665,2663,2693,2777
050,04,009,Arizona,Graham County,1,0,4,152,152,134,153,153,157,155,155,161,162
050,04,009,Arizona,Graham County,1,0,5,28,28,17,27,26,26,26,25,27,28
050,04,009,Arizona,Graham County,1,1,1,9571,9571,9560,9524,9390,9265,9180,9287,9502,9928
050,04,009,Arizona,Graham County,1,1,2,543,543,549,556,559,563,568,566,570,598
050,04,009,Arizona,Graham County,1,1,3,2545,2545,2549,2546,2543,2528,2501,2499,2527,2612
050,04,009,Arizona,Graham County,1,1,4,134,134,121,139,138,142,140,140,146,147
050,04,009,Arizona,Graham County,1,1,5,19,19,8,18,17,17,17,16,18,18
050,04,009,Arizona,Graham County,1,2,1,4872,4872,4885,4920,4899,4862,4850,4859,4884,5072
050,04,009,Arizona,Graham County,1,2,2,35,35,28,30,31,31,31,32,31,34
050,04,009,Arizona,Graham County,1,2,3,135,135,142,158,158,159,164,164,166,165
050,04,009,Arizona,Graham County,1,2,4,18,18,13,14,15,15,15,15,15,15
050,04,009,Arizona,Graham County,1,2,5,9,9,9,9,9,9,9,9,9,10
050,04,009,Arizona,Graham County,2,0,1,13015,13015,12983,12943,12772,12647,12541,12659,12896,13484
050,04,009,Arizona,Graham County,2,0,2,155,155,150,174,174,177,179,186,190,218
050,04,009,Arizona,Graham County,2,0,3,2572,2572,2573,2580,2567,2553,2563,2568,2606,2694
050,04,009,Arizona,Graham County,2,0,4,117,117,99,113,113,112,112,112,113,118
050,04,009,Arizona,Graham County,2,0,5,36,36,18,20,22,22,22,22,23,23
050,04,009,Arizona,Graham County,2,1,1,9186,9186,9130,9077,8917,8796,8687,8781,8983,9389
050,04,009,Arizona,Graham County,2,1,2,118,118,116,139,139,140,140,145,147,174
050,04,009,Arizona,Graham County,2,1,3,2439,2439,2439,2439,2428,2415,2424,2428,2465,2552
050,04,009,Arizona,Graham County,2,1,4,105,105,87,101,101,99,98,98,99,104
050,04,009,Arizona,Graham County,2,1,5,21,21,5,7,9,9,9,9,10,10
050,04,009,Arizona,Graham County,2,2,1,3829,3829,3853,3866,3855,3851,3854,3878,3913,4095
