Table with row headers in column F and column headers in rows 11 through 12.,,,,,,,,,
"Census 2000 PHC-T-29.  Ranking Tables for Population of Metropolitan Statistical Areas, Micropolitan Statistical Areas, Combined Statistical Areas, New England City and Town Areas, and Combined New England City and Town Areas: 1990 and 2000
(Areas defined by the Office of Management and Budget as of June 6, 2003.)",,,,,,,,,
,,,,,,,,,
Table 13.  Population in Combined New England City and Town Areas (CNECTAs) and Their Geographic Components in Alphabetical Order and Numerical and Percent Change:  1990 and 2000,,,,,,,,,
,,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000 and 1990 Census.",,,,,,,,,
"Internet Release date:  December 30, 2003",,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,
"[For information on confidentiality and nonsampling error, see www.census.gov/prod/cen2000/doc/sf1.pdf.  For information on definitions, see http://www.census.gov/population/www/estimates/aboutmetro.html]",,,,,,,,,
(x) Not applicable. ,,,,,,,,,
"CNECTA
Code","NECTA
Code","NECTA
Div.
Code","State/
County
Code","City/
Town
Code",Combined New England City and Town Area and Components,Population,,"Change
1990 to 2000",
,,,,,,"April 1, 2000","April 1, 1990",Number,Percent
710,,,,,"Augusta-Waterville, ME Combined New England City and Town Area","122,337","121,407",930,0.8
710,70600,,,,".Augusta, ME Micropolitan NECTA","78,583","76,508","2,075",2.7
710,70600,,23011,,..Kennebec County (pt.),"74,581","73,098","1,483",2.0
710,70600,,23011,02100,"...Augusta city, ME","18,560","21,325","-2,765",-13.0
710,70600,,23011,04020,"...Belgrade town, ME","2,978","2,375",603,25.4
710,70600,,23011,12350,"...Chelsea town, ME","2,559","2,497",62,2.5
710,70600,,23011,12735,"...China town, ME","4,106","3,713",393,10.6
710,70600,,23011,24670,"...Farmingdale town, ME","2,804","2,918",-114,-3.9
710,70600,,23011,27085,"...Gardiner city, ME","6,198","6,746",-548,-8.1
710,70600,,23011,30550,"...Hallowell city, ME","2,467","2,534",-67,-2.6
710,70600,,23011,40175,"...Litchfield town, ME","3,110","2,650",460,17.4
710,70600,,23011,43080,"...Manchester town, ME","2,465","2,099",366,17.4
710,70600,,23011,47770,"...Mount Vernon town, ME","1,524","1,362",162,11.9
710,70600,,23011,59110,"...Pittston town, ME","2,548","2,444",104,4.3
710,70600,,23011,61700,"...Randolph town, ME","1,911","1,949",-38,-1.9
710,70600,,23011,62190,"...Readfield town, ME","2,360","2,033",327,16.1
710,70600,,23011,63835,"...Rome town, ME",980,758,222,29.3
710,70600,,23011,68385,"...Sidney town, ME","3,514","2,593",921,35.5
710,70600,,23011,78745,"...Vassalboro town, ME","4,047","3,679",368,10.0
710,70600,,23011,80880,"...Wayne town, ME","1,112","1,029",83,8.1
710,70600,,23011,82945,"...West Gardiner town, ME","2,902","2,531",371,14.7
710,70600,,23011,86165,"...Windsor town, ME","2,204","1,895",309,16.3
710,70600,,23011,86970,"...Winthrop town, ME","6,232","5,968",264,4.4
710,70600,,23015,,..Lincoln County (pt.),"2,782","2,389",393,16.5
710,70600,,23015,69645,"...Somerville town, ME",509,458,51,11.1
710,70600,,23015,85010,"...Whitefield town, ME","2,273","1,931",342,17.7
710,70600,,23027,,..Waldo County (pt.),"1,220","1,021",199,19.5
710,70600,,23027,56450,"...Palermo town, ME","1,220","1,021",199,19.5
710,78850,,,,".Waterville, ME Micropolitan NECTA","43,754","44,899","-1,145",-2.6
710,78850,,23011,,..Kennebec County (pt.),"37,181","38,181","-1,000",-2.6
710,78850,,23011,00590,"...Albion town, ME","1,946","1,736",210,12.1
710,78850,,23011,04475,"...Benton town, ME","2,557","2,312",245,10.6
710,78850,,23011,13470,"...Clinton town, ME","3,340","3,332",8,0.2
710,78850,,23011,54560,"...Oakland town, ME","5,959","5,595",364,6.5
710,78850,,23011,78190,"...Unity unorganized territory, ME",31,36,-5,-13.9
710,78850,,23011,80740,"...Waterville city, ME","15,605","17,173","-1,568",-9.1
710,78850,,23011,86515,"...Winslow town, ME","7,743","7,997",-254,-3.2
710,78850,,23025,,..Somerset County (pt.),"6,573","6,718",-145,-2.2
710,78850,,23025,24320,"...Fairfield town, ME","6,573","6,718",-145,-2.2
715,,,,,"Boston-Worcester-Manchester, MA-NH-CT Combined New England City and Town Area","5,517,730","5,162,292","355,438",6.9
715,71650,,,,".Boston-Cambridge-Quincy, MA-NH Metropolitan NECTA","4,540,941","4,252,446","288,495",6.8
715,71650,71654,,,"..Boston-Cambridge-Quincy, MA NECTA Division","2,773,832","2,645,797","128,035",4.8
715,71650,71654,25005,,...Bristol County (pt.),"22,414","16,568","5,846",35.3
715,71650,71654,25005,38225,"....Mansfield town, MA","22,414","16,568","5,846",35.3
715,71650,71654,25009,,...Essex County (pt.),"232,218","215,611","16,607",7.7
715,71650,71654,25009,01465,"....Andover town, MA","31,247","29,151","2,096",7.2
715,71650,71654,25009,05595,"....Beverly city, MA","39,862","38,195","1,667",4.4
715,71650,71654,25009,07420,"....Boxford town, MA","7,921","6,266","1,655",26.4
715,71650,71654,25009,21850,"....Essex town, MA","3,267","3,260",7,0.2
715,71650,71654,25009,26150,"....Gloucester city, MA","30,273","28,716","1,557",5.4
715,71650,71654,25009,27900,"....Hamilton town, MA","8,315","7,280","1,035",14.2
715,71650,71654,25009,32310,"....Ipswich town, MA","12,987","11,873","1,114",9.4
715,71650,71654,25009,37560,"....Lynnfield town, MA","11,542","11,274",268,2.4
715,71650,71654,25009,37995,"....Manchester-by-the-Sea town, MA","5,228","5,286",-58,-1.1
715,71650,71654,25009,41095,"....Middleton town, MA","7,744","4,921","2,823",57.4
715,71650,71654,25009,45175,"....Newbury town, MA","6,717","5,623","1,094",19.5
715,71650,71654,25009,45245,"....Newburyport city, MA","17,189","16,317",872,5.3
715,71650,71654,25009,57880,"....Rockport town, MA","7,767","7,482",285,3.8
715,71650,71654,25009,58405,"....Rowley town, MA","5,500","4,452","1,048",23.5
715,71650,71654,25009,60015,"....Saugus town, MA","26,078","25,549",529,2.1
715,71650,71654,25009,70150,"....Topsfield town, MA","6,141","5,754",387,6.7
715,71650,71654,25009,74595,"....Wenham town, MA","4,440","4,212",228,5.4
715,71650,71654,25017,,...Middlesex County (pt.),"976,859","944,868","31,991",3.4
715,71650,71654,25017,00380,"....Acton town, MA","20,331","17,872","2,459",13.8
715,71650,71654,25017,01605,"....Arlington town, MA","42,389","44,630","-2,241",-5.0
715,71650,71654,25017,03005,"....Ayer town, MA","7,287","6,871",416,6.1
715,71650,71654,25017,04615,"....Bedford town, MA","12,595","12,996",-401,-3.1
715,71650,71654,25017,05070,"....Belmont town, MA","24,194","24,720",-526,-2.1
715,71650,71654,25017,07350,"....Boxborough town, MA","4,868","3,343","1,525",45.6
715,71650,71654,25017,09840,"....Burlington town, MA","22,876","23,302",-426,-1.8
715,71650,71654,25017,11000,"....Cambridge city, MA","101,355","95,802","5,553",5.8
