"Location","ST","CO","Median Value (Dollars) for Specified Owner-Occupied Housing Units","Disabilities- White Alone Males","Disabilities- White Alone Females","Disabilities- Black Alone Males","Disabilities- Black Alone Females","Disabilities- American Indian and Alaska Native Alone Males","Disabilities- American Indian and Alaska Native Alone Females","Disabilities- Asian Alone Males","Disabilities -PCT68D- Asian Alone Females","Disabilities- Native Hawaiian or Pacific Islander Alone Males","Disabilities- Native Hawaiian or Pacific Islander Alone Females","Disabilities- Some Other Race Males","Disabilities- Some Other Race Females","Disabilities- Two or More Races Males","Disabilities- Two or More Races Females","Disabilities- Hispanic Males","Disabilities- Hispanic Females","Disabilities- White Alone, Not Hispanic Males","Disabilities- White Alone, Not Hispanic Females","Per Capita Income 2001","Per Capita Income 2002","Per Capita Income 2003","75% of 3 Year Average Per Capita Income","Unemployment Rate, 2002","Unemployment Rate, 2003","Unemployment Rate, 2004"
"Location","ST","CO","EWP001","EWP03","EWP02A2","EWP02A3","EWP02A4","EWP02A5","EWP02A6","EWP02A7","EWP02A8","EWP02A9","EWP02A10","EWP02A11","EWP02A12","EWP02A13","EWP02A14","EWP02A15","EWP02A16","EWP02A17","EWP02A18","EWP02A19","EWP02A20","EWP02A21","EWP02A22","EWP02A23","EWP02A24","EWP02A25","EWP02A26","EWP02A27","EWP031","EWP04","EWP05","EWP052","EWP06","EWP07","EWP08"
"Clay County","21","051","43800","16598     ","3770      ","3523      ","221       ","55        ","36        ","13        ","0         ","13        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","124       ","22        ","52        ","107       ","24        ","9         ","16491     ","3746      ","3514      ","14388","14550","14871","10952     ","    10.7","    10.4","     7.6"
"Clinton County","21","053","50200","6156      ","1393      ","1535      ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","8         ","8         ","0         ","85        ","31        ","14        ","16        ","11        ","5         ","6148      ","1390      ","1530      ","18323","18868","19602","14198     ","     8.7","     9.3","     6.5"
"Crittenden County","21","055","48300","4305      ","1001      ","1207      ","25        ","11        ","4         ","30        ","0         ","6         ","5         ","5         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","18        ","0         ","6         ","18        ","0         ","6         ","4305      ","1001      ","1207      ","19641","19587","20523","14937     ","     5.7","     6.9","     5.7"
"Cumberland County","21","057","50300","3924      ","894       ","1041      ","182       ","52        ","44        ","6         ","0         ","2         ","17        ","3         ","3         ","0         ","0         ","0         ","0         ","0         ","0         ","24        ","2         ","15        ","22        ","2         ","6         ","3912      ","894       ","1038      ","17730","17384","17631","13185     ","     5.6","     7.3","     6.6"
"Daviess County","21","059","81800","30698     ","8237      ","8655      ","1835      ","437       ","498       ","90        ","21        ","23        ","33        ","8         ","25        ","7         ","7         ","0         ","142       ","59        ","34        ","252       ","83        ","79        ","312       ","79        ","71        ","30511     ","8197      ","8625      ","24610","25846","26479","19233     ","     5.5","     6.1","     5.0"
"Edmonson County","21","061","63700","6262      ","1456      ","1647      ","5         ","2         ","0         ","14        ","3         ","9         ","19        ","0         ","13        ","0         ","0         ","0         ","0         ","0         ","0         ","48        ","11        ","28        ","63        ","15        ","25        ","6199      ","1441      ","1622      ","16189","16550","17165","12475     ","     7.1","     7.1","     5.7"
"Elliott County","21","063","54800","4419      ","1098      ","1033      ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","7         ","2         ","5         ","0         ","0         ","0         ","4419      ","1098      ","1033      ","13746","14304","14633","10670     ","     8.5","     8.3","     9.8"
"Estill County","21","065","50200","9283      ","2211      ","2343      ","0         ","0         ","0         ","7         ","7         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","25        ","10        ","7         ","12        ","1         ","2         ","9271      ","2210      ","2341      ","17121","17466","18133","13179     ","     6.5","     7.5","     7.3"
"Fayette County","21","067","110800","59472     ","16449     ","17025     ","12054     ","3047      ","3719      ","519       ","131       ","105       ","1084      ","336       ","292       ","45        ","11        ","6         ","724       ","386       ","118       ","1436      ","425       ","383       ","2752      ","1470      ","522       ","57727     ","15506     ","16669     ","32080","33242","34242","24891     ","     4.3","     4.6","     3.9"
"Fleming County","21","069","63600","7005      ","1644      ","1793      ","85        ","33        ","19        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","22        ","2         ","16        ","67        ","7         ","31        ","6944      ","1637      ","1768      ","18254","18137","18481","13717     ","     5.5","     5.9","     5.7"
