"Location","ST","CO","Total Males""Total Females""White - All Males""White - All Females""White - Not Hispanic Males""White - Not Hispanic Females""White - Hispanic Males""White - Hispanic Females""Black or African American - All Males""Black or African American - All Females""Black or African American - Not Hispanic Males""Black or African American - Not Hispanic Females""Black or African American - Hispanic Males""Black or African American - Hispanic Females""American Indian and Alaska Native - All Males""American Indian and Alaska Native - All Females""American Indian and Alaska Native - Not Hispanic Males""American Indian and Alaska Native - Not Hispanic Females""American Indian and Alaska Native - Hispanic Males""American Indian and Alaska Native - Hispanic Females""Asian - All Males""Asian - All Females""Asian - Not Hispanic Males""Asian - Not Hispanic Females""Asian - Hispanic Males""Asian - Hispanic Females""Native Hawaiian and Other Pacific Islander - All Males""Native Hawaiian and Other Pacific Islander - All Females""Native Hawaiian and Other Pacific Islander - Not Hispanic Males""Native Hawaiian and Other Pacific Islander - Not Hispanic Females""Native Hawaiian and Other Pacific Islander - Hispanic Males""Native Hawaiian and Other Pacific Islander - Hispanic Females""Some Other Race - All Males""Some Other Race - All Females""Some Other Race - Not Hispanic Males""Some Other Race - Not Hispanic Females""Some Other Race - Hispanic Males""Some Other Race - Hispanic Females""Two or More Races - All Males""Two or More Races - All Females""Two or More Races - Not Hispanic Males""Two or More Races - Not Hispanic Females""Two or More Races - Hispanic Males""Two or More Races - Hispanic Females"
"Location","ST","CO","EWPPCT012002","EWPPCT012106","EWP01","EWP112","EWP113","EWP114","White","EWP116","EWP117","EWP118","EWP119","EWP1110","Black","EWP1112","EWP1113","EWP1114","EWP1115","EWP1116","AI_AL","EWP1118","EWP1119","EWP1120","EWP1121","EWP1122","Asian","EWP1124","EWP1125","EWP1126","EWP1127","EWP1128","PI_Ma","PI_Fe","EWP1131","EWP1132","EWP1133","EWP1134","Other","EWP1136","EWP1137","EWP1138","EWP1139","EWP1140","TwoPl","EWP1142"
"Dickson County","47","043","21158","21998","19665     ","20578     ","19540     ","20480     ","125       ","98        ","987       ","991       ","979       ","979       ","8         ","12        ","88        ","84        ","84        ","78        ","4         ","6         ","50        ","66        ","50        ","65        ","0         ","1         ","3         ","2         ","3         ","2         ","0         ","0         ","138       ","66        ","10        ","5         ","128       ","61        ","227       ","211       ","205       ","192       ","22        ","19        "
"Dyer County","47","045","17867","19412","15370     ","16465     ","15234     ","16368     ","136       ","97        ","2168      ","2627      ","2165      ","2619      ","3         ","8         ","35        ","47        ","34        ","45        ","1         ","2         ","64        ","60        ","63        ","57        ","1         ","3         ","3         ","6         ","3         ","6         ","0         ","0         ","102       ","58        ","5         ","4         ","97        ","54        ","125       ","149       ","111       ","131       ","14        ","18        "
"Fayette County","47","047","14145","14661","8954      ","9043      ","8877      ","8981      ","77        ","62        ","4961      ","5394      ","4937      ","5375      ","24        ","19        ","28        ","28        ","24        ","26        ","4         ","2         ","23        ","40        ","23        ","38        ","0         ","2         ","1         ","1         ","1         ","1         ","0         ","0         ","73        ","40        ","5         ","4         ","68        ","36        ","105       ","115       ","103       ","113       ","2         ","2         "
"Fentress County","47","049","8151","8474","8086      ","8413      ","8050      ","8369      ","36        ","44        ","14        ","4         ","14        ","4         ","0         ","0         ","16        ","9         ","16        ","9         ","0         ","0         ","6         ","10        ","5         ","10        ","1         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","3         ","2         ","0         ","0         ","3         ","2         ","26        ","36        ","25        ","33        ","1         ","3         "
"Franklin County","47","051","19110","20160","17624     ","18582     ","17452     ","18425     ","172       ","157       ","1004      ","1153      ","1002      ","1143      ","2         ","10        ","40        ","38        ","37        ","36        ","3         ","2         ","77        ","85        ","73        ","82        ","4         ","3         ","6         ","7         ","6         ","6         ","0         ","1         ","152       ","85        ","15        ","9         ","137       ","76        ","207       ","210       ","180       ","184       ","27        ","26        "
"Gibson County","47","053","22744","25408","17987     ","19891     ","17872     ","19789     ","115       ","102       ","4334      ","5163      ","4310      ","5137      ","24        ","26        ","42        ","52        ","41        ","50        ","1         ","2         ","35        ","32        ","34        ","32        ","1         ","0         ","4         ","4         ","4         ","4         ","0         ","0         ","167       ","73        ","11        ","7         ","156       ","66        ","175       ","193       ","149       ","172       ","26        ","21        "
"Giles County","47","055","14303","15144","12382     ","13072     ","12286     ","12995     ","96        ","77        ","1667      ","1809      ","1655      ","1795      ","12        ","14        ","43        ","44        ","42        ","40        ","1         ","4         ","46        ","57        ","46        ","56        ","0         ","1         ","2         ","1         ","1         ","1         ","1         ","0         ","38        ","24        ","6         ","7         ","32        ","17        ","125       ","137       ","118       ","133       ","7         ","4         "
"Grainger County","47","057","10279","10380","10111     ","10219     ","10031     ","10158     ","80        ","61        ","32        ","35        ","32        ","35        ","0         ","0         ","18        ","14        ","18        ","14        ","0         ","0         ","5         ","13        ","5         ","13        ","0         ","0         ","0         ","5         ","0         ","5         ","0         ","0         ","46        ","36        ","2         ","3         ","44        ","33        ","67        ","58        ","61        ","56        ","6         ","2         "
"Greene County","47","059","30657","32252","29540     ","31119     ","29328     ","30981     ","212       ","138       ","659       ","670       ","652       ","668       ","7         ","2         ","52        ","60        ","45        ","55        ","7         ","5         ","73        ","96        ","72        ","95        ","1         ","1         ","7         ","8         ","7         ","8         ","0         ","0         ","169       ","103       ","13        ","24        ","156       ","79        ","157       ","196       ","140       ","180       ","17        ","16        "
"Grundy County","47","061","7044","7288","6925      ","7168      ","6880      ","7130      ","45        ","38        ","7         ","13        ","7         ","12        ","0         ","1         ","29        ","14        ","28        ","14        ","1         ","0         ","12        ","12        ","12        ","12        ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","0         ","29        ","21        ","1         ","1         ","28        ","20        ","42        ","60        ","38        ","56        ","4         ","4         "
