SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004
050,25,023,Massachussets,Plymouth County,0,1,04,4695,4695,4767,5109,5414,5752,5847
050,25,023,Massachussets,Plymouth County,0,1,05,232,232,126,145,143,154,155
050,25,023,Massachussets,Plymouth County,0,1,06,4407,4407,4456,4724,4988,5269,5460
050,25,023,Massachussets,Plymouth County,0,2,01,8787,8787,8923,9326,9762,10227,10411
050,25,023,Massachussets,Plymouth County,0,2,02,2156,2156,2161,2202,2268,2331,2341
050,25,023,Massachussets,Plymouth County,0,2,03,154,154,154,159,163,165,173
050,25,023,Massachussets,Plymouth County,0,2,04,66,66,45,50,51,51,49
050,25,023,Massachussets,Plymouth County,0,2,05,31,31,68,62,68,68,67
050,25,023,Massachussets,Plymouth County,0,2,06,343,343,228,241,261,262,269
050,25,025,Massachussets,Suffolk County,0,1,01,367765,367765,366600,366065,359936,351824,343912
050,25,025,Massachussets,Suffolk County,0,1,02,155219,155219,155372,153892,151758,148804,144900
050,25,025,Massachussets,Suffolk County,0,1,03,1834,1834,1896,1863,1799,1723,1682
050,25,025,Massachussets,Suffolk County,0,1,04,49512,49512,49970,50857,50862,50930,50800
050,25,025,Massachussets,Suffolk County,0,1,05,470,470,494,491,491,496,482
050,25,025,Massachussets,Suffolk County,0,1,06,7976,7976,8242,8322,8396,8394,8384
050,25,025,Massachussets,Suffolk County,0,2,01,80390,80390,80633,82614,84240,85847,87063
050,25,025,Massachussets,Suffolk County,0,2,02,21741,21741,21838,22291,22709,23252,23724
050,25,025,Massachussets,Suffolk County,0,2,03,1410,1410,1499,1530,1518,1529,1543
050,25,025,Massachussets,Suffolk County,0,2,04,680,680,634,650,646,626,630
050,25,025,Massachussets,Suffolk County,0,2,05,458,458,270,276,268,272,268
050,25,025,Massachussets,Suffolk County,0,2,06,2352,2352,2479,2505,2560,2602,2634
050,25,027,Massachussets,Worcester County,0,1,01,653024,652616,654708,658376,660321,661666,661534
050,25,027,Massachussets,Worcester County,0,1,02,18897,18591,18766,20098,21357,22160,22867
050,25,027,Massachussets,Worcester County,0,1,03,1543,1534,1529,1590,1610,1645,1639
050,25,027,Massachussets,Worcester County,0,1,04,20114,20098,20165,21776,23518,25217,26519
050,25,027,Massachussets,Worcester County,0,1,05,206,205,273,293,311,327,349
050,25,027,Massachussets,Worcester County,0,1,06,6315,6308,6322,6655,7000,7322,7614
050,25,027,Massachussets,Worcester County,0,2,01,44216,43986,44355,46426,48394,50195,51590
050,25,027,Massachussets,Worcester County,0,2,02,4566,4558,4513,4607,4726,4843,4907
050,25,027,Massachussets,Worcester County,0,2,03,567,566,550,576,598,616,627
050,25,027,Massachussets,Worcester County,0,2,04,231,231,304,323,338,353,358
050,25,027,Massachussets,Worcester County,0,2,05,343,343,185,200,202,215,216
050,25,027,Massachussets,Worcester County,0,2,06,941,937,1062,1118,1177,1213,1268
050,25,001,Massachussets,Barnstable County,1,0,01,100559,100559,101271,102278,103345,103968,103687
050,25,001,Massachussets,Barnstable County,1,0,02,2252,2252,2291,2289,2325,2382,2359
050,25,001,Massachussets,Barnstable County,1,0,03,663,663,621,616,613,606,622
050,25,001,Massachussets,Barnstable County,1,0,04,656,656,676,742,814,824,853
050,25,001,Massachussets,Barnstable County,1,0,05,30,30,16,18,26,32,30
050,25,001,Massachussets,Barnstable County,1,0,06,1039,1039,819,852,892,900,925
050,25,001,Massachussets,Barnstable County,2,0,01,112230,112230,112908,113846,114740,115407,115182
050,25,001,Massachussets,Barnstable County,2,0,02,2234,2234,2269,2271,2299,2361,2359
050,25,001,Massachussets,Barnstable County,2,0,03,680,680,629,641,622,609,619
050,25,001,Massachussets,Barnstable County,2,0,04,798,798,794,870,933,952,988
050,25,001,Massachussets,Barnstable County,2,0,05,46,46,23,25,33,28,32
050,25,001,Massachussets,Barnstable County,2,0,06,1043,1043,917,945,971,996,1027
050,25,003,Massachussets,Berkshire County,1,0,01,61638,61638,61695,61327,61018,60832,60492
050,25,003,Massachussets,Berkshire County,1,0,02,1451,1451,1454,1482,1515,1571,1621
050,25,003,Massachussets,Berkshire County,1,0,03,103,103,95,93,110,106,107
050,25,003,Massachussets,Berkshire County,1,0,04,658,658,662,678,702,722,732
050,25,003,Massachussets,Berkshire County,1,0,05,23,23,11,10,10,12,12
050,25,003,Massachussets,Berkshire County,1,0,06,674,674,577,581,621,643,675
050,25,003,Massachussets,Berkshire County,2,0,01,67492,67492,67533,66935,66421,66192,65748
050,25,003,Massachussets,Berkshire County,2,0,02,1347,1347,1359,1383,1393,1434,1481
050,25,003,Massachussets,Berkshire County,2,0,03,103,103,96,93,103,106,106
050,25,003,Massachussets,Berkshire County,2,0,04,714,714,722,733,765,792,811
050,25,003,Massachussets,Berkshire County,2,0,05,26,26,8,9,10,9,8
050,25,003,Massachussets,Berkshire County,2,0,06,724,724,598,598,646,646,693
050,25,005,Massachussets,Bristol County,1,0,01,242207,242207,242966,243770,245405,246184,246263
050,25,005,Massachussets,Bristol County,1,0,02,7356,7356,7400,7663,8338,8879,9224
050,25,005,Massachussets,Bristol County,1,0,03,867,867,831,853,888,915,963
050,25,005,Massachussets,Bristol County,1,0,04,3507,3507,3528,3730,4030,4258,4464
050,25,005,Massachussets,Bristol County,1,0,05,122,122,98,106,108,110,123
050,25,005,Massachussets,Bristol County,1,0,06,2688,2688,2721,2815,3009,3166,3313
050,25,005,Massachussets,Bristol County,2,0,01,262920,262920,263581,264317,265337,265818,265394
050,25,005,Massachussets,Bristol County,2,0,02,7597,7597,7623,7991,8561,9087,9378
050,25,005,Massachussets,Bristol County,2,0,03,726,726,740,761,785,796,844
050,25,005,Massachussets,Bristol County,2,0,04,3652,3652,3689,3879,4176,4421,4661
050,25,005,Massachussets,Bristol County,2,0,05,137,137,100,107,107,117,123
050,25,005,Massachussets,Bristol County,2,0,06,2899,2899,2841,2949,3119,3299,3426
050,25,007,Massachussets,Dukes County,1,0,01,6820,6820,6932,7018,7112,7188,7196
050,25,007,Massachussets,Dukes County,1,0,02,192,192,206,212,211,213,219
