stcty,reg,div,stname,ctyname,time,popestimate,popest_male,popest_fem,under5_tot,under5_male,under5_fem,age513_tot,age513_male,age513_fem,age1417_tot,age1417_male,age1417_fem,age1824_tot,age1824_male,age1824_fem,age16plus_tot,age16plus_male,age16plus_fem,age18plus_tot,age18plus_male,age18plus_fem,age1544_tot,age1544_male,age1544_fem,age65plus_tot,age65plus_male,age65plus_fem,age85plus_tot,age85plus_male,age85plus_fem
30051,4,8,Montana,Liberty County,2,2158,1063,1095,109,59,50,267,138,129,181,92,89,125,71,54,1695,822,873,1601,774,827,801,391,410,425,187,238,74,30,44
30053,4,8,Montana,Lincoln County,2,18837,9542,9295,937,475,462,2436,1296,1140,1399,721,678,1045,540,505,14765,7386,7379,14065,7050,7015,6630,3278,3352,2859,1398,1461,248,76,172
30055,4,8,Montana,McCone County,2,1977,987,990,107,54,53,266,116,150,118,62,56,107,63,44,1542,786,756,1486,755,731,668,352,316,374,181,193,24,11,13
30057,4,8,Montana,Madison County,2,6851,3465,3386,320,160,160,774,374,400,476,240,236,333,190,143,5520,2816,2704,5281,2691,2590,2419,1240,1179,1176,577,599,139,46,93
30059,4,8,Montana,Meagher County,2,1932,968,964,96,56,40,265,133,132,122,53,69,117,59,58,1513,751,762,1449,726,723,652,323,329,351,163,188,29,10,19
30061,4,8,Montana,Mineral County,2,3884,2000,1884,194,95,99,485,253,232,263,141,122,250,136,114,3069,1576,1493,2942,1511,1431,1436,738,698,550,279,271,42,16,26
30063,4,8,Montana,Missoula County,2,95802,47875,47927,5455,2766,2689,11015,5710,5305,5447,2823,2624,14740,7410,7330,76497,37933,38564,73885,36576,37309,46723,23661,23062,9585,4065,5520,1261,393,868
30065,4,8,Montana,Musselshell County,2,4497,2196,2301,222,111,111,516,238,278,313,162,151,256,137,119,3620,1778,1842,3446,1685,1761,1585,791,794,787,358,429,116,43,73
30067,4,8,Montana,Park County,2,15694,7745,7949,904,445,459,1878,949,929,913,471,442,1020,544,476,12436,6096,6340,11999,5880,6119,6075,3070,3005,2336,978,1358,304,95,209
30069,4,8,Montana,Petroleum County,2,493,259,234,35,19,16,58,29,29,35,19,16,30,16,14,381,200,181,365,192,173,166,87,79,84,45,39,2,0,2
30071,4,8,Montana,Phillips County,2,4601,2305,2296,227,123,104,660,352,308,369,195,174,255,126,129,3549,1743,1806,3345,1635,1710,1656,824,832,811,367,444,124,36,88
30073,4,8,Montana,Pondera County,2,6424,3169,3255,398,197,201,950,488,462,552,275,277,413,228,185,4789,2340,2449,4524,2209,2315,2404,1196,1208,1044,466,578,137,49,88
30075,4,8,Montana,Powder River County,2,1858,916,942,110,55,55,262,136,126,122,59,63,90,46,44,1434,704,730,1364,666,698,620,305,315,344,158,186,45,14,31
30077,4,8,Montana,Powell County,2,7180,4228,2952,332,191,141,778,391,387,415,240,175,558,380,178,5873,3534,2339,5655,3406,2249,3088,2052,1036,1004,449,555,131,41,90
30079,4,8,Montana,Prairie County,2,1199,619,580,50,27,23,102,52,50,72,38,34,52,35,17,1009,520,489,975,502,473,351,188,163,289,136,153,50,19,31
30081,4,8,Montana,Ravalli County,2,36070,17910,18160,2073,1087,986,4752,2451,2301,2406,1270,1136,2223,1221,1002,28070,13762,14308,26839,13102,13737,12951,6449,6502,5589,2616,2973,659,225,434
