Table 1: Carrier Detail by Airport,,,,,,,,,,
"Summarized information by airport, for all O&D markets with an average of ten or more passengers each day",,,,,,,,,,
Carriers with less than 1% market share are not shown.,,,,,,,,,,
Carrier '99' signifies interline traffic.  Please see accompanying documentation for definitions and assumptions.,,,,,,,,,,

Date,Origin,Carrier,Zero-Passengers,Total Passengers,Average Fare,Revenue,RPMs,Avg Nonstop Distance,Passenger Mkt Share,Apt Size
2002,CMH,AA,34660,773700,$147,113872091.4,861082224.9,1051.533127,0.140830201,M
2002,CMH,CO,12520,346970,$170,58974390.8,404256347.2,1020.134796,0.063156075,M
2002,CMH,DL,50860,975670,$147,143096854.7,981869192.7,926.7269364,0.177593127,M
2002,CMH,HP,33270,997810,$125,125101968.5,1147901785,1111.427456,0.181623088,M
2002,CMH,NW,17420,441310,$171,75489561.7,550858974.3,1117.577327,0.080328003,M
2002,CMH,UA,21990,497860,$141,70093734.3,602121643.6,1157.843932,0.090621331,M
2002,CMH,US,25510,508090,$158,80406660.7,328104482.6,579.2702277,0.092483413,M
2002,CMH,WN,94180,814700,$94,76327948.4,649624481.6,768.3718424,0.148293091,M
2002,CMH,Total,298880,5493850,$140,767751387.1,5680158345,968.311734,1,M
2002,CVG,99,10660,108830,$223,24299331.5,118877189.4,1112.59717,0.026807598,L
2002,CVG,AA,19600,169390,$210,35567958.4,213243503.8,1150.792668,0.041725066,L
2002,CVG,CO,7070,128240,$219,28021537.4,132805083.9,899.1938553,0.031588774,L
2002,CVG,DL,305080,3193320,$212,677395412.4,2763806140,838.2130009,0.786595955,L
2002,CVG,NW,11080,153250,$224,34325955.6,150847044.9,868.8651876,0.037749374,L
2002,CVG,UA,11050,139720,$206,28835684.5,157145824.3,1026.169911,0.034416591,L
2002,CVG,US,9460,148370,$170,25177345.4,116041724.8,653.4106625,0.036547306,L
2002,CVG,Total,375400,4059670,$211,857531076.5,3666683873,860.7833839,1,L
2002,DAL,CO,1800,118440,$109,12942319.2,56478887.03,409.0058257,0.026957577,M
2002,DAL,WN,404870,4226830,$85,360153456.5,1493671900,342.9739308,0.962049085,M
2002,DAL,Total,414340,4393570,$86,378356464.4,1586809038,348.9446213,1,M
2002,DCA,99,19530,199880,$214,42749594.9,269710051.9,1314.673554,0.020120068,M
2002,DCA,AA,113940,1549620,$210,325391762.2,1821237128,1123.74457,0.155985891,M
2002,DCA,CO,31000,550390,$231,127246870.8,613146032,1028.582351,0.055402663,M
2002,DCA,DL,124040,1967280,$159,313039749.4,1462298690,688.6082917,0.198027855,M
2002,DCA,HP,9080,250750,$192,48232887.3,492107865.1,1876.962433,0.02524068,M
2002,DCA,NW,79440,883290,$203,178987115.1,900935821.5,961.4671965,0.088912622,M
2002,DCA,TZ,2580,231520,$152,35140251.4,277151673.3,1160.67221,0.023304974,M
2002,DCA,UA,42390,694750,$198,137481866.9,796236661.3,1107.144714,0.069934047,M
2002,DCA,US,129780,3184520,$158,502154494,1799774461,548.5884749,0.32055613,M
2002,DCA,YX,14610,270360,$180,48628458.7,235526553.5,860.3075159,0.027214637,M
2002,DCA,Total,573660,9934360,$180,1788147703,8930901752,857.4125912,1,M
2002,DEN,99,34310,303240,$214,65021488.2,420484842.5,1340.342204,0.018444807,L
2002,DEN,AA,166320,1553370,$154,239917048.2,1852705853,1112.285618,0.094484927,L
2002,DEN,AS,20330,182150,$169,30696039.5,241303697.2,1259.518364,0.011079414,L
2002,DEN,CO,56930,816390,$165,134729906.7,1113360506,1241.251804,0.049657551,L
2002,DEN,DL,191620,1390760,$173,240533005.9,1807664165,1197.083422,0.084594049,L
2002,DEN,F9,44280,2099060,$149,313685200.2,1901380928,905.0558917,0.127676942,L
2002,DEN,HP,23710,528910,$145,76608557,483751403.2,755.8477624,0.032171358,L
