Flights with Taxi-out Time Over Three Hours June 2007,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-Out Time: The time elapsed between departure from the origin airport gate and wheels off.,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by taxi-out time,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-out Time over five hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
American,6/8,231,751,LGA,"New York, NY",DFW,"Dallas/Ft.Worth, TX",5,1445,1512,27,1903,201,2124,8,1730,2132,242,1389,0,230,0,0,12
American,6/19,231,849,PHL,"Philadelphia, PA",ORD,"Chicago, IL",2,1745,1942,117,2333,101,14,5,1915,19,304,678,0,189,0,0,115
JetBlue,6/8,231,359,JFK,"New York, NY",BUR,"Burbank, CA",5,1820,2032,132,23,160,303,2,2146,305,319,2465,0,319,0,0,0
Delta,6/10,231,95,JFK,"New York, NY",LAS,"Las Vegas, NV",7,1740,1844,64,2235,288,23,10,2035,33,238,2248,16,174,0,0,48
JetBlue,6/8,230,105,JFK,"New York, NY",TUS,"Tucson, AZ",5,2005,2019,14,9,107,156,4,2301,200,179,2136,0,179,0,0,0
Comair,6/8,230,5603,JFK,"New York, NY",CLE,"Cleveland, OH",5,1845,2120,155,110,77,227,6,2118,233,315,425,155,160,0,0,0
Comair,6/21,230,5229,LGA,"New York, NY",RDU,"Raleigh/Durham, NC",4,1749,1800,11,2150,68,2258,10,1937,2308,211,431,11,200,0,0,0
United,6/27,230,884,ORD,"Chicago, IL",PHL,"Philadelphia, PA",3,1315,1330,15,1720,119,2019,4,1631,2023,232,678,15,217,0,0,0
Southwest,6/27,230,272,BWI,"Baltimore, MD",ALB,"Albany, NY",3,1620,2011,231,1,55,56,3,1730,59,449,288,0,218,0,229,2
Delta,6/11,229,1891,JFK,"New York, NY",LAX,"Los Angeles, CA",1,2040,2232,112,221,306,427,18,2352,445,293,2475,10,181,0,0,102
US Airways,6/8,229,1895,EWR,"Newark, NJ",CLT,"Charlotte, NC",5,1825,2136,191,125,74,239,3,2031,242,371,529,0,209,0,0,162
