Flights with Taxi-out Time Over Three Hours June 2007,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-Out Time: The time elapsed between departure from the origin airport gate and wheels off.,,,,,,,,,,,,,,,,,,,,,,,,
Ranked by taxi-out time,,,,,,,,,,,,,,,,,,,,,,,,
Taxi-out Time over five hours,,,,,,,,,,,,,,,,,,,,,,,,
Airline,Flight Date,Taxi-Out Time (in mins.),Flight Number,Origin Airport,Origin City,Destination Airport,Destination City,Day of Week,Scheduled Departure Time,Actual Gate Departure Time,Departure Delay (in mins.),Wheels Off,Air Time,Wheels On,Taxi-In Time (in mins.),Scheduled Arrival Time,Actual Gate Arrival Time,Arrival Delay (in mins.),Distance,Air Carrier ,NAS ,Security ,Weather ,Late Arriving Aircraft
Continental,6/21,194,1651,LGA,"New York, NY",CLE,"Cleveland, OH",4,1800,1807,7,2121,74,2235,7,1952,2242,170,418,0,163,0,0,7
Delta,6/10,194,79,JFK,"New York, NY",MIA,"Miami, FL",7,1840,1838,-2,2152,141,13,9,2215,22,127,1090,0,127,0,0,0
American Eagle,6/8,194,4392,JFK,"New York, NY",ORD,"Chicago, IL",5,1815,2137,202,51,116,147,4,2010,151,341,740,0,206,0,0,135
American Eagle,6/11,194,4731,JFK,"New York, NY",STL,"St. Louis, MO",1,1605,1810,125,2124,124,2228,5,1750,2233,283,892,12,158,0,0,113
American,6/26,193,1610,DFW,"Dallas/Ft.Worth, TX",CMH,"Columbus, OH",2,1440,1532,52,1845,129,2154,5,1800,2159,239,927,0,187,0,52,0
American,6/21,193,1639,JFK,"New York, NY",SJU,"San Juan, PR",4,1910,2025,75,2338,183,241,4,2325,245,200,1597,0,125,0,12,63
JetBlue,6/12,193,195,JFK,"New York, NY",LAS,"Las Vegas, NV",2,1840,1837,-3,2150,100,2330,8,2135,2338,123,2248,0,123,0,0,0
Delta,6/12,193,95,JFK,"New York, NY",LAS,"Las Vegas, NV",2,1740,1841,61,2154,286,2340,11,2035,2351,196,2248,0,135,0,0,61
Delta,6/21,193,2,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",4,1900,1921,21,2234,146,100,6,2231,106,155,1069,4,134,0,0,17
AirTran,6/27,193,915,LGA,"New York, NY",PHF,"Newport News/Williamsburg, VA",3,1753,2030,157,2343,53,36,4,1914,40,326,288,0,169,0,0,157
American Eagle,6/26,193,3439,DFW,"Dallas/Ft.Worth, TX",JAN,"Jackson/Vicksburg, MS",2,1310,1350,40,1703,64,1807,7,1430,1814,224,408,0,184,0,16,24
American Eagle,6/26,193,3577,DFW,"Dallas/Ft.Worth, TX",PIT,"Pittsburgh, PA",2,1355,1514,79,1827,137,2144,7,1740,2151,251,1068,0,172,0,45,34
SkyWest,6/26,193,6123,ORD,"Chicago, IL",SDF,"Louisville, KY",2,1310,1308,-2,1621,51,1812,7,1536,1819,163,286,163,0,0,0,0
United,6/26,193,536,ORD,"Chicago, IL",BOS,"Boston, MA",2,1400,1426,26,1739,103,2022,6,1725,2028,183,867,0,159,0,0,24
Pinnacle,6/2,192,2965,BGR,"Bangor, ME",DTW,"Detroit, MI",6,1603,1555,-8,1907,111,2058,17,1825,2115,170,750,0,170,0,0,0
American,6/26,192,810,ORD,"Chicago, IL",DCA,"Washington, DC",2,1350,1424,34,1736,81,1957,13,1645,2010,205,612,11,171,0,0,23
JetBlue,6/1,192,148,JFK,"New York, NY",BTV,"Burlington, VT",5,1830,1851,21,2203,47,2250,3,1952,2253,181,267,21,160,0,0,0
Delta,6/11,192,1927,BOS,"Boston, MA",LGA,"New York, NY",1,1630,1629,-1,1941,48,2029,5,1741,2034,173,185,0,173,0,0,0
American Eagle,6/26,192,3505,DFW,"Dallas/Ft.Worth, TX",LIT,"Little Rock, AR",2,1310,1423,73,1735,45,1820,5,1425,1825,240,304,0,167,0,62,11
Comair,6/1,192,4954,JFK,"New York, NY",ROC,"Rochester, NY",5,2105,2105,0,17,43,100,5,2246,105,139,264,0,139,0,0,0
Comair,6/12,192,5469,JFK,"New York, NY",ORD,"Chicago, IL",2,1630,1625,-5,1937,113,2030,5,1835,2035,120,740,0,120,0,0,0
Mesa,6/26,192,7116,ORD,"Chicago, IL",CAK,"Akron/Canton, OH",2,1421,1427,6,1739,53,1932,2,1640,1934,174,344,174,0,0,0,0
American,6/28,191,555,LGA,"New York, NY",STL,"St. Louis, MO",4,1445,1658,133,2009,130,2119,5,1625,2124,299,887,127,166,0,0,6
JetBlue,6/1,191,219,JFK,"New York, NY",LGB,"Long Beach, CA",5,1730,1845,75,2156,150,26,4,2045,30,225,2465,3,150,0,0,72
JetBlue,6/11,191,95,JFK,"New York, NY",OAK,"Oakland, CA",1,2045,2051,6,2,142,224,5,19,229,130,2576,6,124,0,0,0
JetBlue,6/12,191,215,JFK,"New York, NY",LGB,"Long Beach, CA",2,1615,1633,18,1944,127,2151,5,1935,2156,141,2465,0,123,0,0,18
Continental,6/19,191,1593,MCO,"Orlando, FL",EWR,"Newark, NJ",2,1917,1909,-8,2220,158,58,17,2212,115,183,938,0,183,0,0,0
Delta,6/11,191,597,JFK,"New York, NY",SEA,"Seattle, WA",1,1908,1955,47,2306,313,119,7,2245,126,161,2421,32,114,0,0,15
American Eagle,6/26,191,3829,DFW,"Dallas/Ft.Worth, TX",PNS,"Pensacola, FL",2,1255,1341,46,1652,96,1828,8,1445,1836,231,604,0,185,0,0,46
United,6/1,191,654,ORD,"Chicago, IL",EWR,"Newark, NJ",5,1545,1826,161,2137,119,36,8,1926,44,318,719,0,318,0,0,0
United,6/5,191,701,BOS,"Boston, MA",DEN,"Denver, CO",2,1345,1333,-12,1644,240,1844,8,1612,1852,160,1754,0,160,0,0,0
WN,6/27,191,3026,PHL,"Philadelphia, PA",HOU,"Houston, TX",3,2000,2141,101,52,167,239,4,2250,243,233,1335,0,132,0,0,101
ExpressJet,6/27,191,2987,ALB,"Albany, NY",EWR,"Newark, NJ",3,1307,1508,121,1819,35,1854,9,1425,1903,278,143,0,278,0,0,0
American,6/8,190,1819,LGA,"New York, NY",MIA,"Miami, FL",5,1335,1340,5,1650,143,1913,38,1635,1951,196,1097,0,196,0,0,0
American,6/26,190,2196,DFW,"Dallas/Ft.Worth, TX",BNA,"Nashville, TN",2,1410,1408,-2,1718,84,1842,5,1555,1847,172,631,0,172,0,0,0
Continental,6/1,190,1433,LGA,"New York, NY",IAH,"Houston, TX",5,1710,1728,18,2038,199,2257,7,2014,2304,170,1416,0,152,0,5,13
Delta,6/11,190,149,JFK,"New York, NY",SFO,"San Francisco, CA",1,1840,2013,93,2323,320,143,6,2226,149,203,2586,0,203,0,0,0
Delta,6/12,190,971,EWR,"Newark, NJ",SLC,"Salt Lake City, UT",2,1718,1800,42,2110,258,2328,5,2021,2333,192,1968,0,162,0,0,30
Atlantic Southeast,6/28,190,4701,ATL,"Atlanta, GA",OMA,"Omaha, NE",4,2113,2200,47,110,118,208,7,2234,215,221,821,0,174,0,47,0
SkyWest,6/26,190,5816,MCI,"Kansas City, MO",ORD,"Chicago, IL",2,1412,1507,55,1817,67,1924,6,1544,1930,226,403,0,226,0,0,0
United,6/3,190,17,JFK,"New York, NY",SFO,"San Francisco, CA",7,1735,1734,-1,2044,328,2312,7,2118,2319,121,2586,0,121,0,0,0
United,6/19,190,689,LGA,"New York, NY",ORD,"Chicago, IL",2,1705,1717,12,2027,146,2153,6,1845,2159,194,733,0,182,0,0,12
United,6/12,190,953,IAD,"Washington, DC",PHX,"Phoenix, AZ",2,1810,1907,57,2217,243,2320,3,1954,2323,209,1956,0,152,0,57,0
US Airways,6/27,190,760,PHL,"Philadelphia, PA",PIT,"Pittsburgh, PA",3,2035,2111,36,21,44,105,6,2200,111,191,267,19,155,0,0,17
American,6/12,189,75,IAD,"Washington, DC",LAX,"Los Angeles, CA",2,1745,1750,5,2059,284,2243,11,2015,2254,159,2288,0,159,0,0,0
American,6/1,189,422,MSP,"Minneapolis/St. Paul, MN",ORD,"Chicago, IL",5,1800,1836,36,2145,56,2241,25,1920,2306,226,334,0,202,0,0,24
American,6/26,189,1530,DFW,"Dallas/Ft.Worth, TX",HSV,"Huntsville, AL",2,1300,1331,31,1640,103,1823,5,1440,1828,228,603,0,197,0,16,15
JetBlue,6/19,189,95,JFK,"New York, NY",OAK,"Oakland, CA",2,2045,2202,77,111,173,404,7,19,411,232,2576,77,155,0,0,0
JetBlue,6/27,189,70,PBI,"West Palm Beach/Palm Beach, FL",JFK,"New York, NY",3,2055,2130,35,39,157,316,39,2337,355,258,1028,0,223,0,0,35
Continental,6/12,189,348,EWR,"Newark, NJ",SFO,"San Francisco, CA",2,1730,1745,15,2054,306,2300,7,2102,2307,125,2565,0,125,0,0,0
Northwest,6/19,189,183,PHL,"Philadelphia, PA",MSP,"Minneapolis/St. Paul, MN",2,1746,2017,151,2326,140,46,12,1944,58,314,980,0,163,0,15,136
Comair,6/27,189,5220,JFK,"New York, NY",ROC,"Rochester, NY",3,1609,1650,41,1959,91,2130,3,1748,2133,225,264,41,184,0,0,0
United,6/8,189,189,PHL,"Philadelphia, PA",SFO,"San Francisco, CA",5,1810,1820,10,2129,330,2359,5,2124,4,160,2521,0,160,0,0,0
United,6/26,189,734,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",2,1330,1351,21,1700,63,1903,6,1557,1909,192,412,12,171,0,0,9
ExpressJet,6/19,189,2794,EWR,"Newark, NJ",MEM,"Memphis, TN",2,1550,1618,28,1927,157,2104,5,1752,2109,197,946,0,169,0,0,28
American,6/26,188,682,DFW,"Dallas/Ft.Worth, TX",ORF,"Norfolk, VA",2,1345,1354,9,1702,184,2106,5,1740,2111,211,1213,0,202,0,9,0
American,6/26,188,1418,DFW,"Dallas/Ft.Worth, TX",BOS,"Boston, MA",2,1335,1336,1,1644,241,2145,7,1815,2152,217,1562,0,217,0,0,0
American,6/26,188,1589,DFW,"Dallas/Ft.Worth, TX",SAN,"San Diego, CA",2,1535,1552,17,1900,155,1935,4,1625,1939,194,1171,0,177,0,15,2
JetBlue,6/12,188,42,JFK,"New York, NY",ROC,"Rochester, NY",2,1505,1549,44,1857,53,1950,3,1630,1953,203,264,0,170,0,0,33
Continental,6/21,188,1502,EWR,"Newark, NJ",LAX,"Los Angeles, CA",4,1840,1904,24,2212,317,29,9,2154,38,164,2454,0,140,0,24,0
Continental,6/11,188,1144,EWR,"Newark, NJ",MDW,"Chicago, IL",1,1725,1745,20,2053,102,2135,3,1905,2138,153,711,0,133,0,0,20
US Airways,6/26,188,710,DFW,"Dallas/Ft.Worth, TX",PHL,"Philadelphia, PA",2,1305,1432,87,1740,194,2154,3,1721,2157,276,1302,0,216,0,0,60
ExpressJet,6/8,188,3037,EWR,"Newark, NJ",BNA,"Nashville, TN",5,1915,2204,169,112,109,201,7,2105,208,303,748,0,157,0,0,146
ExpressJet,6/13,188,2939,EWR,"Newark, NJ",LEX,"Lexington, KY",3,1505,1558,53,1906,85,2031,5,1720,2036,196,588,0,143,0,0,53
American,6/26,187,369,DFW,"Dallas/Ft.Worth, TX",ABQ,"Albuquerque, NM",2,1310,1556,166,1903,80,1923,6,1348,1929,341,569,0,175,0,32,134
American,6/19,187,474,DFW,"Dallas/Ft.Worth, TX",ATL,"Atlanta, GA",2,1315,1313,-2,1620,119,1919,10,1635,1929,174,732,0,174,0,0,0
American,6/26,187,1198,DFW,"Dallas/Ft.Worth, TX",FLL,"Fort Lauderdale, FL",2,1340,1349,9,1656,151,2027,6,1735,2033,178,1119,0,169,0,3,6
Delta,6/28,187,1514,ATL,"Atlanta, GA",LEX,"Lexington, KY",4,2001,2230,149,137,45,222,5,2117,227,310,303,0,161,0,11,138
Atlantic Southeast,6/28,187,4292,ATL,"Atlanta, GA",EVV,"Evansville, IN",4,2055,2230,95,137,38,115,4,2118,119,241,350,95,146,0,0,0
United,6/26,187,560,ORD,"Chicago, IL",PVD,"Providence, RI",2,1315,1407,52,1714,124,2018,4,1634,2022,228,849,0,176,0,0,52
US Airways,6/21,187,2138,LGA,"New York, NY",BOS,"Boston, MA",4,1800,1801,1,2108,37,2145,13,1915,2158,163,185,0,162,0,0,1
American,6/26,186,379,DFW,"Dallas/Ft.Worth, TX",BUR,"Burbank, CA",2,1525,1551,26,1857,171,1948,2,1635,1950,195,1231,0,169,0,26,0
American,6/21,186,1130,ORD,"Chicago, IL",EWR,"Newark, NJ",4,1845,1902,17,2208,101,49,11,2200,100,180,719,0,180,0,0,0
American,6/27,186,1179,ORD,"Chicago, IL",SAT,"San Antonio, TX",3,1345,1429,44,1735,143,1958,7,1630,2005,215,1041,0,179,0,0,36
American,6/26,186,1344,DFW,"Dallas/Ft.Worth, TX",OMA,"Omaha, NE",2,1520,1604,44,1910,81,2031,3,1700,2034,214,583,0,170,0,3,41
JetBlue,6/8,186,173,JFK,"New York, NY",SJC,"San Jose, CA",5,1800,1827,27,2133,170,23,5,2139,28,169,2569,0,142,0,0,27
Delta,6/19,186,95,JFK,"New York, NY",LAS,"Las Vegas, NV",2,1740,1941,121,2247,310,57,5,2035,102,267,2248,58,146,0,0,63
United,6/26,186,652,ORD,"Chicago, IL",DAY,"Dayton, OH",2,1310,1419,69,1725,43,1908,2,1516,1910,234,240,69,165,0,0,0
Southwest,6/19,186,700,PHL,"Philadelphia, PA",PIT,"Pittsburgh, PA",2,1800,2029,149,2335,47,22,6,1940,28,288,267,0,139,0,21,128
JetBlue,6/1,185,120,MSY,"New Orleans, LA",JFK,"New York, NY",5,1740,1744,4,2049,230,39,12,2149,51,182,1182,0,182,0,0,0
Continental,6/8,185,648,EWR,"Newark, NJ",SFO,"San Francisco, CA",5,1920,1951,31,2256,348,144,7,2256,151,175,2565,0,151,0,0,24
Continental,6/1,185,460,EWR,"Newark, NJ",SAT,"San Antonio, TX",5,1845,1844,-1,2149,216,25,3,2203,28,145,1569,0,145,0,0,0
Delta,6/19,185,697,JFK,"New York, NY",PDX,"Portland, OR",2,1835,2023,108,2328,344,212,7,2208,219,251,2454,41,143,0,0,67
American Eagle,6/26,185,3807,DFW,"Dallas/Ft.Worth, TX",MLI,"Moline, IL",2,1430,1602,92,1907,95,2042,5,1625,2047,262,691,0,170,0,57,35
United,6/27,185,1183,PHL,"Philadelphia, PA",DEN,"Denver, CO",3,815,1513,418,1818,207,1945,7,1021,1952,571,1557,418,153,0,0,0
US Airways,6/13,185,148,PHL,"Philadelphia, PA",SAN,"San Diego, CA",3,1600,1612,12,1917,282,2059,12,1839,2111,152,2369,12,140,0,0,0
American,6/27,184,335,LGA,"New York, NY",ORD,"Chicago, IL",3,1650,1902,132,2206,105,2251,9,1825,2300,275,733,0,183,0,39,53
American,6/1,184,763,LGA,"New York, NY",DFW,"Dallas/Ft.Worth, TX",5,1655,1713,18,2017,177,2214,6,1950,2220,150,1389,0,132,0,17,1
Continental,6/8,184,816,EWR,"Newark, NJ",MSY,"New Orleans, LA",5,2010,2055,45,2359,160,139,6,2235,145,190,1167,0,190,0,0,0
Continental,6/27,184,1137,EWR,"Newark, NJ",DFW,"Dallas/Ft.Worth, TX",3,1535,1613,38,1917,213,2150,6,1829,2156,207,1372,15,169,0,0,23
Continental,6/12,184,1137,EWR,"Newark, NJ",DFW,"Dallas/Ft.Worth, TX",2,1535,1530,-5,1834,183,2037,9,1829,2046,137,1372,0,137,0,0,0
Comair,6/13,184,5483,LGA,"New York, NY",TYS,"Knoxville, TN",3,1520,1620,60,1924,116,2120,5,1730,2125,235,647,0,175,0,60,0
Comair,6/26,184,5517,ORD,"Chicago, IL",JFK,"New York, NY",2,1444,1444,0,1748,108,2036,9,1815,2045,150,740,0,150,0,0,0
United,6/26,184,616,ORD,"Chicago, IL",DCA,"Washington, DC",2,1400,1408,8,1712,93,1945,5,1655,1950,175,612,8,167,0,0,0
US Airways,6/19,184,1535,PHL,"Philadelphia, PA",DEN,"Denver, CO",2,1810,1813,3,2117,223,2300,7,2026,2307,161,1557,3,158,0,0,0
ExpressJet,6/19,184,3132,JAX,"Jacksonville, FL",EWR,"Newark, NJ",2,1955,2135,100,39,117,236,15,2227,251,264,821,0,264,0,0,0
American,6/28,183,443,PHL,"Philadelphia, PA",MIA,"Miami, FL",4,1900,2019,79,2322,131,133,5,2155,138,223,1013,0,144,0,0,79
American,6/26,183,474,DFW,"Dallas/Ft.Worth, TX",ATL,"Atlanta, GA",2,1315,1439,84,1742,99,2021,18,1635,2039,244,732,0,160,0,0,84
American,6/27,183,613,JFK,"New York, NY",MIA,"Miami, FL",3,1925,2231,186,134,133,347,3,2250,350,300,1090,186,114,0,0,0
JetBlue,6/8,183,6,JFK,"New York, NY",BUF,"Buffalo, NY",5,1720,2209,289,112,58,210,4,1912,214,422,301,0,387,0,0,35
JetBlue,6/27,183,97,JFK,"New York, NY",DEN,"Denver, CO",3,1955,2315,200,218,107,405,6,2235,411,336,1626,0,136,0,200,0
Delta,6/1,183,523,LGA,"New York, NY",ATL,"Atlanta, GA",5,1659,1700,1,2003,112,2155,12,1933,2207,154,761,0,154,0,0,0
Delta,6/12,183,1853,LGA,"New York, NY",TPA,"Tampa, FL",2,1535,1630,55,1933,139,2152,3,1848,2155,187,1011,8,132,0,0,47
Delta,6/19,183,151,JFK,"New York, NY",SFO,"San Francisco, CA",2,1625,1645,20,1948,379,2307,5,2012,2312,180,2586,0,180,0,0,0
Delta,6/21,183,31,JFK,"New York, NY",LAX,"Los Angeles, CA",4,1620,1847,147,2150,312,2,14,1930,16,286,2475,28,139,0,0,119
Atlantic Southeast,6/28,183,4578,ATL,"Atlanta, GA",BTR,"Baton Rouge, LA",4,2200,2205,5,108,58,106,3,2230,109,159,449,0,159,0,0,0
American Eagle,6/26,183,4153,ORD,"Chicago, IL",PVD,"Providence, RI",2,1455,1454,-1,1757,118,2055,4,1815,2059,164,849,0,164,0,0,0
American Eagle,6/21,183,4822,LGA,"New York, NY",DSM,"Des Moines, IA",4,1820,1820,0,2123,183,2326,4,2030,2330,180,1031,0,180,0,0,0
Comair,6/11,183,5046,JFK,"New York, NY",DTW,"Detroit, MI",1,1935,2025,50,2328,162,210,10,2208,220,252,508,0,202,0,50,0
United,6/19,183,19,JFK,"New York, NY",SFO,"San Francisco, CA",2,2045,2100,15,3,336,239,5,32,244,132,2586,0,132,0,0,0
United,6/1,183,458,ORD,"Chicago, IL",ROC,"Rochester, NY",5,1845,1841,-4,2144,70,2354,4,2129,2358,149,528,0,149,0,0,0
United,6/28,183,688,ORD,"Chicago, IL",LGA,"New York, NY",4,1600,1630,30,1933,98,2211,8,1921,2219,178,733,0,178,0,0,0
United,6/27,183,776,ORD,"Chicago, IL",BDL,"Hartford, CT",3,1325,1433,68,1736,101,2017,4,1635,2021,226,783,25,158,0,0,43
US Airways,6/26,183,1564,ORD,"Chicago, IL",PHL,"Philadelphia, PA",2,1345,1413,28,1716,96,1952,5,1650,1957,187,678,23,159,0,0,5
ExpressJet,6/19,183,2951,IND,"Indianapolis, IN",EWR,"Newark, NJ",2,2020,2116,56,19,108,207,21,2233,228,235,644,0,194,0,0,41
American,6/27,182,185,JFK,"New York, NY",LAX,"Los Angeles, CA",3,2045,2243,118,145,332,417,12,2355,429,274,2475,0,156,0,59,59
JetBlue,6/1,182,43,JFK,"New York, NY",MCO,"Orlando, FL",5,1900,2043,103,2345,128,153,4,2228,157,209,944,18,106,0,0,85
JetBlue,6/12,182,8,JFK,"New York, NY",BUF,"Buffalo, NY",2,1455,1456,1,1758,60,1858,6,1623,1904,161,301,0,161,0,0,0
Continental,6/19,182,1187,EWR,"Newark, NJ",ORD,"Chicago, IL",2,1845,2222,217,124,108,212,5,2029,217,348,719,0,219,0,0,129
Delta,6/19,182,1581,JFK,"New York, NY",SLC,"Salt Lake City, UT",2,1910,2023,73,2325,285,210,6,2258,216,198,1989,73,125,0,0,0
Delta,6/21,182,149,JFK,"New York, NY",SFO,"San Francisco, CA",4,1840,1933,53,2235,333,108,6,2226,114,168,2586,0,115,0,0,53
American Eagle,6/21,182,4837,LGA,"New York, NY",MSN,"Madison, WI",4,1840,1832,-8,2134,146,2300,4,2020,2304,164,812,0,164,0,0,0
United,6/20,182,415,AUS,"Austin, TX",DEN,"Denver, CO",3,820,822,2,1124,103,1207,46,930,1253,203,775,0,203,0,0,0
United,6/8,182,839,JFK,"New York, NY",LAX,"Los Angeles, CA",5,1825,1822,-3,2124,321,2345,6,2135,2351,136,2475,0,136,0,0,0
US Airways,6/1,182,2136,LGA,"New York, NY",BOS,"Boston, MA",5,1700,1700,0,2002,41,2043,5,1820,2048,148,185,0,148,0,0,0
US Airways,6/21,182,2139,BOS,"Boston, MA",LGA,"New York, NY",4,1800,1908,68,2210,38,2248,6,1912,2254,222,185,0,195,0,0,27
US Airways,6/27,182,2143,BOS,"Boston, MA",LGA,"New York, NY",3,2000,2045,45,2347,39,26,6,2115,32,197,185,5,152,0,0,40
ExpressJet,6/21,182,2882,BNA,"Nashville, TN",EWR,"Newark, NJ",4,1910,1939,29,2241,136,157,9,2239,206,207,748,0,207,0,0,0
Mesa,6/26,182,7110,ORD,"Chicago, IL",SAV,"Savannah, GA",2,1321,1327,6,1629,105,1914,3,1633,1917,164,773,164,0,0,0,0
American,6/26,181,1744,DFW,"Dallas/Ft.Worth, TX",GSO,"Greensboro/High Point, NC",2,1330,1349,19,1650,155,2025,4,1700,2029,209,999,0,190,0,6,13
JetBlue,6/12,181,1065,JFK,"New York, NY",AUS,"Austin, TX",2,1335,1329,-6,1630,134,1844,3,1638,1847,129,1522,0,129,0,0,0
JetBlue,6/21,181,179,JFK,"New York, NY",PHX,"Phoenix, AZ",4,1950,2017,27,2318,92,50,4,2238,54,136,2153,0,109,0,0,27
Continental,6/25,181,1820,IAH,"Houston, TX",ATL,"Atlanta, GA",1,1605,1641,36,1942,104,2226,18,1939,2244,185,689,0,185,0,0,0
Continental,6/8,181,302,EWR,"Newark, NJ",LAX,"Los Angeles, CA",5,1750,1905,75,2206,318,24,12,2107,36,209,2454,0,209,0,0,0
Northwest,6/27,181,184,MSP,"Minneapolis/St. Paul, MN",LGA,"New York, NY",3,1856,1936,40,2237,128,145,11,2236,156,200,1020,0,160,0,40,0
United,6/26,181,496,ORD,"Chicago, IL",CMH,"Columbus, OH",2,1410,1409,-1,1710,51,1901,5,1621,1906,165,296,0,165,0,0,0
US Airways,6/26,181,478,DFW,"Dallas/Ft.Worth, TX",PHX,"Phoenix, AZ",2,1500,1549,49,1850,133,1903,16,1529,1919,230,868,0,181,0,20,29
US Airways,6/28,181,1295,BDL,"Hartford, CT",DCA,"Washington, DC",4,1639,1912,153,2213,62,2315,2,1759,2317,318,313,0,197,0,0,121
US Airways,6/28,181,1717,PHL,"Philadelphia, PA",PBI,"West Palm Beach/Palm Beach, FL",4,2015,2024,9,2325,140,145,4,2256,149,173,951,6,164,0,0,3
Southwest,6/27,181,1887,PHL,"Philadelphia, PA",MDW,"Chicago, IL",3,1900,2053,113,2354,92,26,7,2030,33,243,668,0,200,0,0,43
ExpressJet,6/10,181,2396,EWR,"Newark, NJ",DTW,"Detroit, MI",7,1810,1935,85,2236,76,2352,5,2030,2357,207,487,0,122,0,0,85
Day of Week Code,,,,,,,,,,,,,,,,,,,,,,,,
1 Monday,,,,,,,,,,,,,,,,,,,,,,,,
2 Tuesday,,,,,,,,,,,,,,,,,,,,,,,,
3 Wednesday,,,,,,,,,,,,,,,,,,,,,,,,
4 Thursday,,,,,,,,,,,,,,,,,,,,,,,,
5 Friday,,,,,,,,,,,,,,,,,,,,,,,,
6 Saturday,,,,,,,,,,,,,,,,,,,,,,,,
7 Sunday,,,,,,,,,,,,,,,,,,,,,,,,
