table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Grandin city,Missouri,232,236,-4,-1.7
.Van Buren town,Missouri,824,845,-21,-2.5
.Balance of Carter County,Missouri,"4,447","4,497",-50,-1.1
Cass County,Missouri,"87,310","82,092","5,218",6.4
.Archie city,Missouri,910,890,20,2.2
.Baldwin Park village,Missouri,117,115,2,1.7
.Belton city,Missouri,"23,214","21,730","1,484",6.8
.Cleveland city,Missouri,627,592,35,5.9
.Creighton city,Missouri,340,322,18,5.6
.Drexel city (pt.),Missouri,987,971,16,1.6
.East Lynne city,Missouri,306,300,6,2.0
.Freeman city,Missouri,550,526,24,4.6
.Garden City city,Missouri,"1,595","1,505",90,6.0
.Gunn City village,Missouri,86,85,1,1.2
.Harrisonville city,Missouri,"9,264","8,960",304,3.4
.Kansas City city (pt.),Missouri,114,104,10,9.6
.Lake Annette city,Missouri,165,163,2,1.2
.Lake Winnebago city,Missouri,984,902,82,9.1
.Lee's Summit city (pt.),Missouri,"1,267","1,180",87,7.4
.Peculiar city,Missouri,"2,996","2,604",392,15.1
.Pleasant Hill city,Missouri,"6,019","5,585",434,7.8
.Raymore city,Missouri,"12,612","11,142","1,470",13.2
.Strasburg city,Missouri,138,136,2,1.5
.West Line village,Missouri,127,126,1,0.8
.Balance of Cass County,Missouri,"24,892","24,154",738,3.1
Cedar County,Missouri,"13,825","13,733",92,0.7
.El Dorado Springs city,Missouri,"3,769","3,775",-6,-0.2
.Jerico Springs village,Missouri,262,259,3,1.2
.Stockton city,Missouri,"1,965","1,960",5,0.3
.Umber View Heights village,Missouri,55,52,3,5.8
.Balance of Cedar County,Missouri,"7,774","7,687",87,1.1
Chariton County,Missouri,"8,197","8,438",-241,-2.9
.Brunswick city,Missouri,900,925,-25,-2.7
.Dalton town,Missouri,26,27,-1,-3.7
.Glasgow city (pt.),Missouri,28,29,-1,-3.4
.Keytesville city,Missouri,519,533,-14,-2.6
.Marceline city (pt.),Missouri,1,-,1,(X)
.Mendon city,Missouri,202,208,-6,-2.9
.Rothville village,Missouri,89,93,-4,-4.3
.Salisbury city,Missouri,"1,660","1,726",-66,-3.8
.Sumner town,Missouri,139,142,-3,-2.1
.Triplett city,Missouri,62,64,-2,-3.1
.Balance of Chariton County,Missouri,"4,571","4,691",-120,-2.6
Christian County,Missouri,"59,117","54,285","4,832",8.9
.Billings city,Missouri,"1,131","1,091",40,3.7
.Clever city,Missouri,"1,148","1,010",138,13.7
.Fremont Hills city,Missouri,618,597,21,3.5
.Highlandville city,Missouri,921,872,49,5.6
.Nixa city,Missouri,"13,671","12,169","1,502",12.3
.Ozark city,Missouri,"11,651","9,793","1,858",19.0
.Sparta city,Missouri,"1,193","1,144",49,4.3
.Springfield city (pt.),Missouri,5,4,1,25.0
.Balance of Christian County,Missouri,"28,779","27,605","1,174",4.3
Clark County,Missouri,"7,432","7,416",16,0.2
.Alexandria city,Missouri,170,166,4,2.4
