table with row headers in column A and column headers in row 4,,,,,
"Table 12.  Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
(leading dots indicate sub-parts),,,,,
Place,State,"July 1, 2002 Population","April 1, 2000 Population Estimates Base",Numerical Population Change,Percent Population Change
.Marlborough village,Missouri,"2,232","2,235",-3,-0.1
.Maryland Heights city,Missouri,"25,782","25,756",26,0.1
.Moline Acres city,Missouri,"2,632","2,662",-30,-1.1
.Normandy city,Missouri,"5,095","5,153",-58,-1.1
.Northwoods city,Missouri,"4,587","4,643",-56,-1.2
.Norwood Court town,Missouri,"1,059","1,061",-2,-0.2
.Oakland city,Missouri,"1,546","1,540",6,0.4
.Olivette city,Missouri,"7,552","7,438",114,1.5
.Overland city,Missouri,"16,606","16,838",-232,-1.4
.Pacific city (pt.),Missouri,5,3,2,66.7
.Pagedale city,Missouri,"3,614","3,616",-2,-0.1
.Pasadena Hills city,Missouri,"1,141","1,147",-6,-0.5
.Pasadena Park village,Missouri,483,489,-6,-1.2
.Pine Lawn city,Missouri,"4,188","4,204",-16,-0.4
.Richmond Heights city,Missouri,"9,500","9,602",-102,-1.1
.Riverview village,Missouri,"3,097","3,138",-41,-1.3
.Rock Hill city,Missouri,"4,788","4,765",23,0.5
.St. Ann city,Missouri,"13,532","13,607",-75,-0.6
.St. George city,Missouri,"1,273","1,288",-15,-1.2
.St. John city,Missouri,"6,778","6,871",-93,-1.4
.Shrewsbury city,Missouri,"6,571","6,644",-73,-1.1
.Sunset Hills city,Missouri,"8,363","8,267",96,1.2
.Sycamore Hills village,Missouri,716,722,-6,-0.8
.Town and Country city,Missouri,"10,951","10,894",57,0.5
.Twin Oaks village,Missouri,358,362,-4,-1.1
.University City city,Missouri,"37,851","37,428",423,1.1
.Uplands Park village,Missouri,458,460,-2,-0.4
.Valley Park city,Missouri,"6,443","6,518",-75,-1.2
.Velda City city,Missouri,"1,593","1,616",-23,-1.4
.Velda Village Hills village,Missouri,"1,085","1,090",-5,-0.5
.Vinita Park city,Missouri,"1,894","1,924",-30,-1.6
.Vinita Terrace village,Missouri,291,292,-1,-0.3
.Warson Woods city,Missouri,"1,961","1,983",-22,-1.1
.Webster Groves city,Missouri,"23,414","23,230",184,0.8
.Wellston city,Missouri,"2,418","2,460",-42,-1.7
.Westwood village,Missouri,290,284,6,2.1
.Wilbur Park village,Missouri,477,475,2,0.4
.Wildwood city,Missouri,"33,870","32,884",986,3.0
.Winchester city,Missouri,"1,634","1,651",-17,-1.0
.Woodson Terrace city,Missouri,"4,194","4,189",5,0.1
.Balance of St. Louis County,Missouri,"329,520","328,304","1,216",0.4
Saline County,Missouri,"23,018","23,756",-738,-3.1
.Arrow Rock town,Missouri,75,79,-4,-5.1
.Blackburn city (pt.),Missouri,252,261,-9,-3.4
.Emma city (pt.),Missouri,138,144,-6,-4.2
.Gilliam town,Missouri,220,229,-9,-3.9
.Grand Pass village,Missouri,51,53,-2,-3.8
.Malta Bend town,Missouri,240,249,-9,-3.6
.Marshall city,Missouri,"12,089","12,433",-344,-2.8
.Miami city,Missouri,155,160,-5,-3.1
.Mount Leonard town,Missouri,122,123,-1,-0.8
.Nelson city,Missouri,206,212,-6,-2.8
.Slater city,Missouri,"1,974","2,083",-109,-5.2
.Sweet Springs city,Missouri,"1,561","1,628",-67,-4.1
.Balance of Saline County,Missouri,"5,935","6,102",-167,-2.7
Schuyler County,Missouri,"4,211","4,170",41,1.0
.Downing city,Missouri,394,396,-2,-0.5
.Glenwood village,Missouri,202,203,-1,-0.5
.Greentop city (pt.),Missouri,339,337,2,0.6
.Lancaster city,Missouri,736,737,-1,-0.1
.Queen City city,Missouri,640,638,2,0.3
.Balance of Schuyler County,Missouri,"1,900","1,859",41,2.2
Scotland County,Missouri,"4,868","4,983",-115,-2.3
.Arbela town,Missouri,39,40,-1,-2.5
.Granger village,Missouri,43,44,-1,-2.3
.Memphis city,Missouri,"2,000","2,061",-61,-3.0
.Rutledge town,Missouri,100,103,-3,-2.9
.South Gorin town,Missouri,139,143,-4,-2.8
.Balance of Scotland County,Missouri,"2,547","2,592",-45,-1.7
Scott County,Missouri,"40,279","40,422",-143,-0.4
.Benton city,Missouri,727,732,-5,-0.7
.Blodgett village,Missouri,265,265,-,-
.Cape Girardeau city (pt.),Missouri,18,-,18,(X)
.Chaffee city,Missouri,"2,992","3,044",-52,-1.7
.Commerce village,Missouri,109,110,-1,-0.9
.Diehlstadt village,Missouri,164,163,1,0.6
.Haywood City village,Missouri,243,239,4,1.7
.Kelso village,Missouri,522,527,-5,-0.9
.Miner city (pt.),Missouri,"1,063","1,056",7,0.7
.Morley city,Missouri,794,792,2,0.3
.Oran city,Missouri,"1,240","1,264",-24,-1.9
.Scott City city (pt.),Missouri,"4,540","4,591",-51,-1.1
.Sikeston city (pt.),Missouri,"15,857","15,974",-117,-0.7
.Vanduser village,Missouri,212,217,-5,-2.3
.Balance of Scott County,Missouri,"11,533","11,448",85,0.7
Shannon County,Missouri,"8,382","8,324",58,0.7
.Birch Tree city,Missouri,628,634,-6,-0.9
.Eminence city,Missouri,549,548,1,0.2
.Summersville city (pt.),Missouri,70,70,-,-
.Winona city,Missouri,"1,301","1,290",11,0.9
.Balance of Shannon County,Missouri,"5,834","5,782",52,0.9
Shelby County,Missouri,"6,681","6,799",-118,-1.7
.Bethel village,Missouri,118,121,-3,-2.5
.Clarence city,Missouri,902,915,-13,-1.4
.Hunnewell city,Missouri,228,227,1,0.4
.Leonard village,Missouri,65,66,-1,-1.5
.Shelbina city,Missouri,"1,895","1,943",-48,-2.5
.Shelbyville city,Missouri,675,682,-7,-1.0
.Balance of Shelby County,Missouri,"2,798","2,845",-47,-1.7
Stoddard County,Missouri,"29,828","29,705",123,0.4
.Advance city,Missouri,"1,228","1,244",-16,-1.3
.Bell City city,Missouri,460,461,-1,-0.2
.Bernie city,Missouri,"1,806","1,777",29,1.6
.Bloomfield city,Missouri,"1,927","1,952",-25,-1.3
.Dexter city,Missouri,"7,429","7,431",-2,-
.Dudley city,Missouri,292,289,3,1.0
.Essex city,Missouri,531,524,7,1.3
.Penermon village,Missouri,76,75,1,1.3
.Puxico city,Missouri,"1,147","1,145",2,0.2
.Balance of Stoddard County,Missouri,"14,932","14,807",125,0.8
Stone County,Missouri,"29,381","28,658",723,2.5
.Blue Eye town,Missouri,134,129,5,3.9
.Branson city (pt.),Missouri,1,-,1,(X)
.Branson West city,Missouri,426,408,18,4.4
.Coney Island village,Missouri,96,94,2,2.1
.Crane city,Missouri,"1,403","1,390",13,0.9
.Galena city,Missouri,460,451,9,2.0
.Hurley city,Missouri,160,157,3,1.9
.Indian Point village,Missouri,597,588,9,1.5
.Kimberling City city,Missouri,"2,323","2,253",70,3.1
.McCord Bend village,Missouri,303,292,11,3.8
.Reeds Spring city,Missouri,475,465,10,2.2
.Balance of Stone County,Missouri,"23,003","22,431",572,2.6
Sullivan County,Missouri,"7,315","7,219",96,1.3
.Browning city (pt.),Missouri,84,83,1,1.2
.Greencastle city,Missouri,315,308,7,2.3
.Green City city,Missouri,697,688,9,1.3
.Harris town,Missouri,106,105,1,1.0
.Humphreys village,Missouri,166,164,2,1.2
.Milan city,Missouri,"1,970","1,958",12,0.6
.Newtown town,Missouri,211,209,2,1.0
.Osgood village,Missouri,52,51,1,2.0
.Pollock village,Missouri,132,131,1,0.8
.Balance of Sullivan County,Missouri,"3,582","3,522",60,1.7
Taney County,Missouri,"40,601","39,703",898,2.3
.Branson city (pt.),Missouri,"5,998","6,050",-52,-0.9
.Bull Creek village,Missouri,231,225,6,2.7
.Forsyth city,Missouri,"1,649","1,686",-37,-2.2
.Hollister city,Missouri,"3,858","3,867",-9,-0.2
.Kirbyville village,Missouri,81,79,2,2.5
.Merriam Woods village,Missouri,"1,147","1,142",5,0.4
.Rockaway Beach city,Missouri,567,577,-10,-1.7
.Table Rock village,Missouri,235,229,6,2.6
.Taneyville village,Missouri,352,359,-7,-1.9
.Balance of Taney County,Missouri,"26,483","25,489",994,3.9
Texas County,Missouri,"24,625","23,003","1,622",7.1
.Cabool city,Missouri,"2,140","2,168",-28,-1.3
.Houston city,Missouri,"1,982","1,992",-10,-0.5
.Licking city,Missouri,"3,022","1,471","1,551",105.4
.Mountain Grove city (pt.),Missouri,128,130,-2,-1.5
.Plato village,Missouri,64,64,-,-
.Raymondville town,Missouri,434,442,-8,-1.8
.Summersville city (pt.),Missouri,473,474,-1,-0.2
.Balance of Texas County,Missouri,"16,382","16,262",120,0.7
Vernon County,Missouri,"20,274","20,454",-180,-0.9
.Bronaugh city,Missouri,242,245,-3,-1.2
.Deerfield village,Missouri,75,75,-,-
.Harwood village,Missouri,89,90,-1,-1.1
.Metz town,Missouri,66,67,-1,-1.5
.Milo village,Missouri,83,84,-1,-1.2
.Moundville town,Missouri,102,103,-1,-1.0
.Nevada city,Missouri,"8,451","8,609",-158,-1.8
.Richards town,Missouri,94,95,-1,-1.1
.Schell City city,Missouri,284,286,-2,-0.7
.Sheldon city,Missouri,525,529,-4,-0.8
.Stotesbury town,Missouri,42,43,-1,-2.3
.Walker city,Missouri,274,275,-1,-0.4
.Balance of Vernon County,Missouri,"9,947","9,953",-6,-0.1
Warren County,Missouri,"26,193","24,525","1,668",6.8
.Foristell city (pt.),Missouri,34,34,-,-
.Innsbrook village,Missouri,486,471,15,3.2
.Marthasville city,Missouri,845,837,8,1.0
.Pendleton village,Missouri,52,52,-,-
.Truesdale city,Missouri,414,397,17,4.3
.Warrenton city,Missouri,"5,792","5,281",511,9.7
.Wright City city,Missouri,"1,773","1,634",139,8.5
.Balance of Warren County,Missouri,"16,797","15,819",978,6.2
Washington County,Missouri,"23,503","23,344",159,0.7
.Caledonia village,Missouri,156,158,-2,-1.3
.Irondale city,Missouri,434,437,-3,-0.7
.Mineral Point town,Missouri,365,363,2,0.6
.Potosi city,Missouri,"2,675","2,747",-72,-2.6
.Balance of Washington County,Missouri,"19,873","19,639",234,1.2
Wayne County,Missouri,"13,122","13,259",-137,-1.0
.Greenville city,Missouri,445,451,-6,-1.3
.Mill Spring village,Missouri,214,219,-5,-2.3
.Piedmont city,Missouri,"1,955","1,992",-37,-1.9
.Williamsville city,Missouri,372,379,-7,-1.8
.Balance of Wayne County,Missouri,"10,136","10,218",-82,-0.8
Webster County,Missouri,"32,671","31,045","1,626",5.2
.Diggins village,Missouri,313,298,15,5.0
.Fordland city,Missouri,713,684,29,4.2
.Marshfield city,Missouri,"6,131","5,720",411,7.2
.Niangua city,Missouri,464,445,19,4.3
.Rogersville city (pt.),Missouri,"1,639","1,479",160,10.8
.Seymour city,Missouri,"1,906","1,834",72,3.9
.Balance of Webster County,Missouri,"21,505","20,585",920,4.5
Worth County,Missouri,"2,298","2,382",-84,-3.5
.Allendale town,Missouri,52,54,-2,-3.7
.Denver village,Missouri,38,40,-2,-5.0
.Grant City town,Missouri,886,926,-40,-4.3
.Irena village,Missouri,32,33,-1,-3.0
.Sheridan town,Missouri,179,185,-6,-3.2
.Worth town,Missouri,91,94,-3,-3.2
.Balance of Worth County,Missouri,"1,020","1,050",-30,-2.9
Wright County,Missouri,"18,035","17,955",80,0.4
.Hartville city,Missouri,600,607,-7,-1.2
.Mansfield city,Missouri,"1,332","1,349",-17,-1.3
.Mountain Grove city (pt.),Missouri,"4,396","4,420",-24,-0.5
.Norwood city,Missouri,562,552,10,1.8
.Balance of Wright County,Missouri,"11,145","11,027",118,1.1
St. Louis city,Missouri,"338,353","348,189","-9,836",-2.8
.St. Louis city,Missouri,"338,353","348,189","-9,836",-2.8
"Note: The April 1, 2000 Population Estimates Base reflects modifications to the Census 2000 population as documented in the Count Question Resolution program, updates from the Boundary and Annexation Survey, and geographic program revisions.  Dash (-) represents zero or rounds to zero.  (X) represents blank values.",,,,,
Suggested Citation:,,,,,
"Table SUB-EST2002-12-29-Missouri Incorporated Place Population Estimates and Population Change, Sorted within County: April 1, 2000 to July 1, 2002",,,,,
"Source: Population Division, U.S. Census Bureau",,,,,
"Release Date:  July 10, 2003",,,,,
