File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
...Mean Earnings,"$55,378 ","$24,642 ","$34,263 ","$38,576 ","$46,080 ","$70,339 ","$56,951 ","$85,912 ","$123,148 ","$86,247 "
....Standard Error,"$1,208 ","$1,236 ","$1,376 ","$1,583 ","$3,207 ","$1,930 ","$1,829 ","$5,220 ","$10,649 ","$5,168 "
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"12,018","4,147","3,578","1,827",746,"1,718","1,223",354,79,61
...Median Earnings,"$26,887 ","$20,535 ","$26,544 ","$33,094 ","$34,127 ","$46,362 ","$42,000 ","$52,183 ","$75,058 ",(B)
....Standard Error,$179 ,$171 ,$266 ,"$1,174 ","$1,261 ",$821 ,$837 ,"$2,159 ","$14,240 ",(B)
...Mean Earnings,"$34,123 ","$23,480 ","$31,207 ","$38,341 ","$38,045 ","$59,684 ","$51,920 ","$62,934 ","$113,837 ",(B)
....Standard Error,$420 ,$468 ,$603 ,$704 ,$897 ,"$2,069 ","$1,901 ","$3,353 ","$13,996 ",(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
25 to 64 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
