File with 8 tables (1 table in each tab) with row headers in column A and column headers in rows 4 through 6.,,,,,,,,,,
"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
18 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"19,964",794,"6,188","3,617","2,305","7,058","4,237","2,018",461,340
...Median Earnings,"$44,709 ","$27,060 ","$35,061 ","$41,045 ","$43,625 ","$62,384 ","$57,870 ","$66,130 ",$100000+,"$90,500 "
....Standard Error,$460 ,$819 ,$393 ,$288 ,"$1,329 ",$660 ,"$1,370 ",$876 ,"$42,352 ","$3,409 "
...Mean Earnings,"$57,773 ","$32,408 ","$40,299 ","$46,915 ","$48,036 ","$84,695 ","$72,880 ","$89,639 ","$145,652 ","$119,803 "
....Standard Error,$545 ,"$1,758 ",$593 ,$614 ,$673 ,"$1,309 ","$1,251 ","$2,967 ","$7,556 ","$7,073 "
.Black Alone,,,,,,,,,,
..With Earnings,"2,979",268,"1,151",591,239,728,493,177,32,25
...Median Earnings,"$31,671 ","$20,850 ","$27,194 ","$31,955 ","$36,182 ","$50,926 ","$45,595 ","$58,777 ",(B),(B)
....Standard Error,$273 ,$824 ,$463 ,$443 ,$766 ,$620 ,"$1,915 ","$3,694 ",(B),(B)
...Mean Earnings,"$39,019 ","$23,357 ","$30,616 ","$37,348 ","$38,175 ","$59,704 ","$51,222 ","$66,704 ",(B),(B)
....Standard Error,$685 ,"$1,156 ",$609 ,"$1,033 ","$1,536 ","$2,131 ","$1,960 ","$3,620 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,"1,125",99,267,118,87,552,362,121,28,40
...Median Earnings,"$40,083 ","$21,347 ","$26,301 ","$37,443 ","$33,682 ","$51,779 ","$45,445 ","$80,291 ",(B),(B)
....Standard Error,"$1,542 ",$638 ,$723 ,"$2,357 ","$4,875 ",$888 ,"$2,482 ","$5,019 ",(B),(B)
...Mean Earnings,"$53,374 ","$25,474 ","$35,686 ","$43,324 ","$55,590 ","$68,729 ","$51,811 ","$102,794 ",(B),(B)
....Standard Error,"$2,359 ","$3,100 ","$3,333 ","$4,321 ","$9,584 ","$3,946 ","$2,290 ","$13,962 ",(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"2,512",886,703,367,118,436,267,121,21,26
...Median Earnings,"$30,017 ","$21,408 ","$29,455 ","$35,812 ","$33,489 ","$51,786 ","$48,141 ","$52,465 ",(B),(B)
....Standard Error,$617 ,$492 ,"$1,362 ","$1,028 ","$2,068 ","$1,309 ","$2,931 ","$4,705 ",(B),(B)
...Mean Earnings,"$37,937 ","$24,141 ","$34,146 ","$39,597 ","$39,678 ","$70,153 ","$59,060 ","$60,010 ",(B),(B)
....Standard Error,"$1,061 ",$612 ,"$1,438 ","$1,427 ","$2,498 ","$4,871 ","$3,997 ","$4,214 ",(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
55 to 64 Years",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"19,651","1,839","5,907","3,423","1,833","6,648","3,667","2,042",404,532
...Median Earnings,"$32,276 ","$19,292 ","$26,326 ","$31,257 ","$34,725 ","$51,226 ","$45,466 ","$52,964 ",$100000+,"$77,389 "
....Standard Error,$167 ,$657 ,$241 ,$334 ,"$1,015 ",$319 ,$597 ,"$1,400 ","$39,538 ","$2,051 "
...Mean Earnings,"$44,814 ","$22,120 ","$31,079 ","$38,777 ","$39,485 ","$67,874 ","$57,335 ","$65,144 ","$130,922 ","$103,023 "
....Standard Error,$493 ,$691 ,$459 ,$905 ,$827 ,"$1,221 ","$1,405 ","$1,888 ","$7,596 ","$6,428 "
.White Alone,,,,,,,,,,
..With Earnings,"16,921","1,444","5,062","2,975","1,568","5,870","3,204","1,848",356,461
...Median Earnings,"$33,449 ","$19,191 ","$26,632 ","$31,583 ","$35,524 ","$51,386 ","$46,202 ","$52,238 ",$100000+,"$77,071 "
....Standard Error,$658 ,$637 ,$273 ,$358 ,$718 ,$335 ,$549 ,$924 ,"$38,918 ","$2,243 "
...Mean Earnings,"$45,705 ","$22,057 ","$31,309 ","$38,904 ","$40,563 ","$68,760 ","$58,907 ","$65,485 ","$126,204 ","$105,981 "
....Standard Error,$537 ,$508 ,$469 ,$891 ,$934 ,"$1,328 ","$1,562 ","$2,056 ","$7,576 ","$7,311 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"15,586",940,"4,712","2,767","1,477","5,688","3,087","1,802",344,453
...Median Earnings,"$35,220 ","$20,464 ","$26,736 ","$31,624 ","$35,302 ","$51,399 ","$45,995 ","$52,340 ",$100000+,"$77,093 "
....Standard Error,$260 ,$451 ,$288 ,$375 ,$924 ,$351 ,$562 ,"$1,186 ","$42,322 ","$2,246 "
...Mean Earnings,"$46,956 ","$23,260 ","$31,645 ","$39,038 ","$40,700 ","$69,033 ","$59,068 ","$65,866 ","$127,788 ","$104,809 "
....Standard Error,$574 ,$674 ,$497 ,$946 ,$977 ,"$1,355 ","$1,615 ","$2,103 ","$7,762 ","$7,119 "
.Black Alone,,,,,,,,,,
..With Earnings,"1,670",268,601,289,174,335,196,100,18,20
...Median Earnings,"$26,869 ","$18,134 ","$24,881 ","$28,474 ","$28,751 ","$47,997 ","$39,307 ","$57,853 ",(B),(B)
....Standard Error,$458 ,"$1,841 ","$1,049 ","$1,337 ","$2,332 ","$2,659 ","$2,278 ","$3,373 ",(B),(B)
...Mean Earnings,"$35,668 ","$23,297 ","$28,044 ","$39,015 ","$33,492 ","$57,520 ","$45,861 ","$59,445 ",(B),(B)
....Standard Error,"$1,602 ","$4,084 ","$1,004 ","$5,740 ","$1,948 ","$4,584 ","$3,217 ","$3,709 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,733,72,174,74,54,358,223,66,25,42
...Median Earnings,"$32,986 ",(B),"$22,452 ","$26,778 ",(B),"$50,791 ","$39,005 ",(B),(B),(B)
....Standard Error,"$1,837 ",(B),"$2,218 ","$3,223 ",(B),"$2,277 ","$2,332 ",(B),(B),(B)
...Mean Earnings,"$46,139 ",(B),"$30,166 ","$31,844 ",(B),"$64,097 ","$43,752 ",(B),(B),(B)
....Standard Error,"$2,364 ",(B),"$2,162 ","$2,747 ",(B),"$4,374 ","$2,496 ",(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"1,425",535,377,224,96,191,121,48,11,9
...Median Earnings,"$24,667 ","$16,983 ","$25,783 ","$31,228 ","$37,089 ","$51,226 ","$51,513 ",(B),(B),(B)
....Standard Error,$848 ,$537 ,"$1,030 ","$1,211 ","$2,370 ","$1,047 ","$2,740 ",(B),(B),(B)
...Mean Earnings,"$32,339 ","$19,811 ","$27,418 ","$44,710 ","$37,195 ","$60,127 ","$54,191 ",(B),(B),(B)
....Standard Error,"$1,591 ",$745 ,"$1,132 ","$7,365 ","$2,861 ","$6,581 ","$3,872 ",(B),(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"14,009","1,211","4,108","2,461","1,346","4,882","2,663","1,443",334,441
...Median Earnings,"$40,737 ","$23,118 ","$32,105 ","$37,422 ","$40,804 ","$60,284 ","$51,787 ","$61,057 ",$100000+,"$86,691 "
....Standard Error,$191 ,$651 ,$248 ,$779 ,$573 ,$421 ,$430 ,$537 ,"$47,206 ","$4,455 "
...Mean Earnings,"$53,476 ","$27,392 ","$37,737 ","$44,512 ","$46,269 ","$79,694 ","$67,443 ","$76,173 ","$147,361 ","$113,938 "
....Standard Error,$618 ,$966 ,$528 ,$685 ,$978 ,"$1,553 ","$1,793 ","$2,427 ","$8,703 ","$7,489 "
.White Alone,,,,,,,,,,
..With Earnings,"11,955",953,"3,477","2,132","1,133","4,258","2,297","1,294",290,376
...Median Earnings,"$41,462 ","$23,300 ","$32,753 ","$38,932 ","$41,976 ","$60,643 ","$53,246 ","$60,826 ",$100000+,"$87,268 "
....Standard Error,$201 ,$776 ,$564 ,"$1,223 ",$728 ,$338 ,"$1,539 ",$641 ,"$50,319 ","$4,680 "
...Mean Earnings,"$55,046 ","$27,140 ","$38,555 ","$45,511 ","$47,950 ","$81,423 ","$69,981 ","$77,069 ","$143,298 ","$118,436 "
....Standard Error,$689 ,$608 ,$597 ,$760 ,"$1,119 ","$1,708 ","$2,013 ","$2,684 ","$8,750 ","$8,619 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"10,962",593,"3,212","1,971","1,059","4,126","2,207","1,267",281,370
...Median Earnings,"$42,171 ","$25,701 ","$33,472 ","$39,249 ","$42,246 ","$60,674 ","$52,561 ","$60,868 ",$100000+,"$87,335 "
....Standard Error,$210 ,$650 ,$735 ,"$1,096 ","$1,149 ",$350 ,"$1,519 ",$646 ,"$50,856 ","$4,648 "
...Mean Earnings,"$56,720 ","$29,799 ","$39,144 ","$45,740 ","$48,222 ","$81,700 ","$70,230 ","$77,380 ","$144,971 ","$116,809 "
....Standard Error,$738 ,$850 ,$637 ,$801 ,"$1,179 ","$1,741 ","$2,089 ","$2,736 ","$8,970 ","$8,377 "
.Black Alone,,,,,,,,,,
..With Earnings,"1,226",175,444,208,143,254,146,74,15,18
...Median Earnings,"$31,346 ","$22,733 ","$27,065 ","$31,662 ","$35,041 ","$51,448 ","$40,810 ","$60,480 ",(B),(B)
....Standard Error,$503 ,"$1,136 ",$991 ,"$1,670 ","$2,410 ","$1,888 ","$1,466 ","$1,641 ",(B),(B)
...Mean Earnings,"$40,323 ","$30,219 ","$32,641 ","$38,026 ","$37,869 ","$63,941 ","$49,354 ","$66,876 ",(B),(B)
....Standard Error,"$1,662 ","$6,157 ","$1,173 ","$1,851 ","$2,103 ","$5,838 ","$3,894 ","$4,324 ",(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,591,40,136,60,45,307,189,54,23,39
...Median Earnings,"$38,402 ",(B),"$26,690 ",(B),(B),"$55,806 ","$41,805 ",(B),(B),(B)
....Standard Error,"$2,034 ",(B),"$2,493 ",(B),(B),"$3,385 ","$3,098 ",(B),(B),(B)
...Mean Earnings,"$51,983 ",(B),"$34,626 ",(B),(B),"$69,092 ","$48,267 ",(B),(B),(B)
....Standard Error,"$2,658 ",(B),"$2,526 ",(B),(B),"$4,631 ","$2,687 ",(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,"1,064",384,289,176,74,140,94,28,9,7
...Median Earnings,"$30,171 ","$20,467 ","$30,109 ","$35,914 ","$40,834 ","$60,201 ","$59,987 ",(B),(B),(B)
....Standard Error,$895 ,$758 ,"$1,519 ","$3,910 ",$908 ,"$3,856 ","$3,589 ",(B),(B),(B)
...Mean Earnings,"$36,547 ","$22,766 ","$31,880 ","$42,491 ","$44,019 ","$72,558 ","$63,172 ",(B),(B),(B)
....Standard Error,"$1,405 ",$754 ,"$1,252 ","$2,255 ","$3,086 ","$8,521 ","$4,132 ",(B),(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,

"Table 9.  Earnings in 2004 by Educational Attainment of the Population 18 Years and Over, by Age, Sex, Race Alone, And Hispanic Origin:  2005",,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,
"Both Sexes
65 Years and Over",Total,High School,,College,,,,,,
,,Not a Graduate,"Graduate, including GED",Some College no degree,Associate's degree,Bachelor's or more,,,,
,,,,,,Total,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
All Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"6,357",937,"2,077","1,032",445,"1,863","1,036",476,177,172
...Median Earnings,"$15,593 ","$11,385 ","$14,250 ","$18,168 ","$14,998 ","$25,461 ","$18,075 ","$25,186 ","$75,312 ","$51,117 "
....Standard Error,$357 ,$258 ,$822 ,"$1,046 ","$1,178 ","$1,681 ","$2,165 ","$2,163 ","$3,769 ","$8,821 "
...Mean Earnings,"$30,421 ","$18,686 ","$21,997 ","$31,559 ","$24,979 ","$46,387 ","$32,856 ","$45,516 ","$107,005 ","$67,572 "
....Standard Error,$933 ,"$2,002 ","$1,172 ","$2,936 ","$2,089 ","$2,057 ","$1,616 ","$4,938 ","$10,406 ","$7,721 "
.White Alone,,,,,,,,,,
..With Earnings,"5,615",727,"1,889",952,394,"1,652",911,429,153,157
...Median Earnings,"$15,535 ","$11,278 ","$14,245 ","$18,150 ","$14,370 ","$23,024 ","$16,009 ","$25,253 ","$75,103 ","$51,051 "
....Standard Error,$386 ,$286 ,$932 ,"$1,063 ","$1,484 ","$1,994 ","$1,906 ","$2,547 ","$4,819 ","$14,182 "
...Mean Earnings,"$30,502 ","$16,759 ","$22,299 ","$31,805 ","$25,547 ","$46,364 ","$32,809 ","$45,731 ","$110,359 ","$63,950 "
....Standard Error,$983 ,$785 ,"$1,280 ","$3,068 ","$2,333 ","$2,268 ","$1,801 ","$5,431 ","$11,700 ","$8,065 "
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"5,298",600,"1,795",923,373,"1,604",883,418,148,154
...Median Earnings,"$15,380 ","$10,886 ","$13,803 ","$17,938 ","$14,476 ","$22,355 ","$15,370 ","$24,598 ","$75,107 ","$50,986 "
....Standard Error,$434 ,$330 ,"$1,072 ","$1,049 ","$1,450 ","$1,958 ","$1,955 ","$2,896 ","$4,701 ","$14,144 "
...Mean Earnings,"$30,865 ","$16,689 ","$22,280 ","$32,027 ","$26,227 ","$46,184 ","$32,240 ","$45,926 ","$111,019 ","$64,193 "
....Standard Error,"$1,035 ",$904 ,"$1,342 ","$3,160 ","$2,452 ","$2,317 ","$1,807 ","$5,571 ","$11,994 ","$8,230 "
.Black Alone,,,,,,,,,,
..With Earnings,486,157,137,54,37,99,60,24,11,3
...Median Earnings,"$15,896 ","$11,367 ","$16,283 ",(B),(B),"$27,444 ",(B),(B),(B),(B)
....Standard Error,$974 ,$761 ,"$1,868 ",(B),(B),"$5,359 ",(B),(B),(B),(B)
...Mean Earnings,"$27,076 ","$28,044 ","$19,851 ",(B),(B),"$38,795 ",(B),(B),(B),(B)
....Standard Error,"$4,096 ","$12,091 ","$1,509 ",(B),(B),"$4,525 ",(B),(B),(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,164,37,25,7,4,90,54,17,9,8
...Median Earnings,"$17,867 ",(B),(B),(B),(B),"$41,970 ",(B),(B),(B),(B)
....Standard Error,"$3,414 ",(B),(B),(B),(B),"$5,258 ",(B),(B),(B),(B)
...Mean Earnings,"$37,575 ",(B),(B),(B),(B),"$52,587 ",(B),(B),(B),(B)
....Standard Error,"$4,392 ",(B),(B),(B),(B),"$6,894 ",(B),(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,342,139,95,29,23,53,29,13,6,3
...Median Earnings,"$16,902 ","$14,724 ","$17,950 ",(B),(B),(B),(B),(B),(B),(B)
....Standard Error,$934 ,"$1,649 ","$1,897 ",(B),(B),(B),(B),(B),(B),(B)
...Mean Earnings,"$24,665 ","$16,943 ","$22,702 ",(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$1,918 ","$1,372 ","$2,348 ",(B),(B),(B),(B),(B),(B),(B)
Year Round Full Time Workers,,,,,,,,,,
.All Races,,,,,,,,,,
..With Earnings,"2,511",370,815,404,155,765,391,194,101,78
...Median Earnings,"$32,488 ","$21,595 ","$26,410 ","$36,145 ","$31,512 ","$55,135 ","$46,361 ","$51,051 ","$91,721 ","$66,551 "
....Standard Error,$875 ,$608 ,$557 ,"$1,832 ","$1,837 ","$2,673 ","$3,234 ","$4,915 ","$33,684 ","$4,654 "
...Mean Earnings,"$51,382 ","$31,649 ","$37,146 ","$50,307 ","$44,407 ","$78,082 ","$59,514 ","$69,129 ","$152,357 ","$96,359 "
....Standard Error,"$1,929 ","$4,854 ","$2,802 ","$5,057 ","$4,850 ","$3,958 ","$3,308 ","$8,732 ","$15,438 ","$14,207 "
.White Alone,,,,,,,,,,
..With Earnings,"2,141",278,719,368,132,642,317,169,83,72
...Median Earnings,"$34,271 ","$22,340 ","$26,416 ","$36,835 ","$33,541 ","$60,022 ","$48,025 ","$51,211 ","$91,234 ",(B)
....Standard Error,"$1,264 ","$1,852 ",$582 ,"$1,725 ","$3,873 ","$2,707 ","$3,251 ","$4,986 ","$28,031 ",(B)
...Mean Earnings,"$52,679 ","$26,463 ","$38,450 ","$50,476 ","$47,055 ","$82,377 ","$63,082 ","$71,654 ","$161,299 ",(B)
....Standard Error,"$2,053 ","$1,199 ","$3,162 ","$5,126 ","$5,597 ","$4,613 ","$3,974 ","$9,897 ","$18,144 ",(B)
.Non-Hispanic White Alone,,,,,,,,,,
..With Earnings,"1,969",205,666,353,123,619,301,166,81,70
...Median Earnings,"$35,401 ","$25,767 ","$26,373 ","$36,949 ","$37,819 ","$60,087 ","$47,509 ","$51,235 ","$91,132 ",(B)
....Standard Error,$722 ,"$1,770 ",$627 ,"$1,693 ","$4,081 ","$2,653 ","$3,393 ","$4,889 ","$25,444 ",(B)
...Mean Earnings,"$54,346 ","$27,540 ","$38,900 ","$51,038 ","$49,123 ","$82,784 ","$62,650 ","$72,036 ","$164,265 ",(B)
....Standard Error,"$2,214 ","$1,464 ","$3,402 ","$5,330 ","$5,906 ","$4,751 ","$4,036 ","$10,058 ","$18,644 ",(B)
.Black Alone,,,,,,,,,,
..With Earnings,242,64,73,26,19,59,37,10,9,1
...Median Earnings,"$26,856 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$2,236 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
...Mean Earnings,"$41,822 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$7,931 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
.Asian Alone,,,,,,,,,,
..With Earnings,83,18,11,1,,51,29,10,7,3
...Median Earnings,"$42,849 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$4,531 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
...Mean Earnings,"$50,955 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$6,379 ",(B),(B),(B),(B),(B),(B),(B),(B),(B)
.Hispanic (of any race),,,,,,,,,,
..With Earnings,190,82,54,15,8,30,17,5,4,2
...Median Earnings,"$25,732 ","$17,641 ",(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$1,892 ","$1,768 ",(B),(B),(B),(B),(B),(B),(B),(B)
...Mean Earnings,"$33,596 ","$22,687 ",(B),(B),(B),(B),(B),(B),(B),(B)
....Standard Error,"$2,787 ","$1,862 ",(B),(B),(B),(B),(B),(B),(B),(B)
Footnotes:,,,,,,,,,,
Note:  The symbol B means that the base is too small to show the derived measure.,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2005 Annual Social and Economic Supplement",,,,,,,,,,
"Internet Release Date: October 26, 2006",,,,,,,,,,
