stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whitea_tot,whitea_nonhisp,whitea_hisp,blacka_tot,blacka_nonhisp,blacka_hisp,aiana_tot,aiana_nonhisp,aiana_hisp,asiaa_tot,asiaa_nonhisp,asiaa_hisp,nhpia_tot,nhpia_nonhisp,nhpia_hisp,twoplus_tot,twoplus_nonhisp,twoplus_hisp
26075,2,3,Michigan,Jackson County,2,158422,154929,3493,141881,138806,3075,12668,12444,224,659,593,66,870,864,6,63,55,8,2281,2167,114
26077,2,3,Michigan,Kalamazoo County,2,238603,232292,6311,205304,199845,5459,23616,23160,456,1021,911,110,4452,4422,30,93,74,19,4117,3880,237
26079,2,3,Michigan,Kalkaska County,2,16571,16429,142,16201,16073,128,35,34,1,129,122,7,37,37,0,8,8,0,161,155,6
26081,2,3,Michigan,Kent County,2,574335,534152,40183,498211,462627,35584,53341,50541,2800,3192,2562,630,10905,10724,181,431,222,209,8255,7476,779
26083,2,3,Michigan,Keweenaw County,2,2301,2283,18,2190,2179,11,83,79,4,4,3,1,3,2,1,0,0,0,21,20,1
26085,2,3,Michigan,Lake County,2,11333,11142,191,9674,9520,154,1279,1260,19,116,114,2,18,18,0,4,4,0,242,226,16
26087,2,3,Michigan,Lapeer County,2,87904,85173,2731,85742,83134,2608,729,711,18,342,297,45,352,336,16,8,6,2,731,689,42
26089,2,3,Michigan,Leelanau County,2,21119,20425,694,20047,19431,616,54,49,5,786,729,57,55,52,3,5,4,1,172,160,12
26091,2,3,Michigan,Lenawee County,2,98947,92063,6884,94873,88377,6496,2206,2048,158,432,329,103,471,453,18,8,6,2,957,850,107
26093,2,3,Michigan,Livingston County,2,156951,154998,1953,153138,151344,1794,736,721,15,688,644,44,912,909,3,58,50,8,1419,1330,89
26095,2,3,Michigan,Luce County,2,7024,6901,123,5871,5799,72,542,516,26,405,389,16,26,25,1,3,2,1,177,170,7
26097,2,3,Michigan,Mackinac County,2,11943,11836,107,9605,9522,83,24,23,1,1702,1686,16,37,34,3,2,1,1,573,570,3
26099,2,3,Michigan,Macomb County,2,788149,775714,12435,737744,726435,11309,21572,21320,252,2535,2281,254,17240,17113,127,196,162,34,8862,8403,459
26101,2,3,Michigan,Manistee County,2,24527,23888,639,23391,22806,585,414,396,18,320,302,18,81,79,2,9,4,5,312,301,11
26103,2,3,Michigan,Marquette County,2,64634,64190,444,61679,61286,393,868,856,12,980,961,19,320,315,5,14,13,1,773,759,14
26105,2,3,Michigan,Mason County,2,28274,27422,852,27397,26594,803,220,208,12,225,212,13,78,78,0,6,5,1,348,325,23
