    "","Table 6a.--Direct Investment: Income, Capital, Royalties and License Fees, and Other Private Services",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)",
    "","",
    "","U.S. direct investment abroad:",
    "","",
  "19",         16662,         19062,          3599,          4557,          5161,          3345,          4275,          3992,
  "20",         40446,         45598,          9866,         10781,          9708,         10091,         10665,         10886,
  "21",         19095,         31242,          3885,          4447,          5652,          5111,          6314,          7125,
  "22",          5328,          5753,          1323,          1296,          1345,          1364,          1380,          1448,
  "23",          1308,          1201,           305,           308,           352,           343,           331,           289,
  "24",           388,           395,            99,           100,            93,            96,            96,            86,
  "25",          -287,           -99,           -35,           -97,           -72,           -83,           -81,            -8,
  "26",          1083,          1275,           273,           271,           266,           273,           315,           339,
  "27",          2836,          2983,           681,           714,           706,           735,           719,           742,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "28",       -137836,       -154761,        -41554,        -37643,        -34439,        -24200,        -36977,        -32429,
  "29",        -18103,        -22984,         -9678,         -3266,         -6091,           932,         -4895,         -4843,
  "30",        -48257,        -43798,        -15047,         -8240,        -12277,        -12693,         -9944,         -8776,
  "31",         30154,         20815,          5369,          4974,          6186,         13625,          5049,          3933,
  "32",        -94152,       -127013,        -22670,        -24569,        -26413,        -20500,        -29406,        -29455,
  "33",        -25581,         -4764,         -9206,         -9808,         -1935,         -4632,         -2676,          1869,
  "34",        -24880,        -29167,         -1365,        -16228,          -323,         -6964,        -11822,         -8768,
  "35",          -701,         24403,         -7841,          6420,         -1612,          2332,          9146,         10637,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "36",       -119741,       -136084,        -37157,        -33148,        -29866,        -19570,        -32311,        -27747,
  "37",        -29512,        -29185,         -2880,         -9524,         -9402,         -7706,         -6771,         -4684,
  "38",         -7181,        -14117,         -2904,           161,         -4129,          -309,         -2528,           639,
  "39",        -24590,        -22265,        -10203,         -6576,         -4720,         -3091,        -11036,         -1023,
  "40",        -42136,        -45904,        -12823,        -13591,         -8069,         -7653,        -10732,        -12026,
  "41",        -16322,        -24614,         -8347,         -3618,         -3546,          -811,         -1244,        -10653,
  "42",        -18103,        -22984,         -9678,         -3266,         -6091,           932,         -4895,         -4843,
  "43",        -13717,         -9725,         -5124,         -2449,         -3922,         -2222,         -2072,         -1236,
  "44",         -1361,          -769,          -794,          -205,          -553,           191,             3,           122,
  "45",         -2887,         -6488,         -1121,         -1522,         -1579,          1335,         -3313,          -603,
  "46",          -357,         -3260,          1005,          -418,          -339,          -605,           979,         -1703,
  "47",           219,         -2741,         -3644,          1328,           302,          2233,          -492,         -1423,
  "48",        -76057,       -108336,        -18273,        -20074,        -21840,        -15870,        -24740,        -24773,
  "49",        -15602,        -25527,         -2141,         -3356,         -5243,         -4862,         -6040,         -5828,
  "50",         -7715,        -13444,         -2203,         -2076,         -2046,         -1390,         -1843,         -2568,
  "51",         -8376,        -10575,         -2357,         -2464,         -2702,          -853,         -2455,         -2215,
  "52",        -32292,        -36155,         -8833,         -9548,         -7586,         -6325,         -9920,         -9029,
  "53",        -12072,        -22637,         -2739,         -2630,         -4263,         -2440,         -4482,         -5133,
  "54",        -25581,         -4764,         -9206,         -9808,         -1935,         -4632,         -2676,          1869,
  "55",          -193,          6066,          4385,         -3719,          -237,          -622,          1341,          2380,
  "56",          1895,            95,            93,          2442,         -1530,           890,          -688,          3085,
  "57",        -13327,         -5203,         -6725,         -2590,          -439,         -3573,         -5269,          1795,
  "58",         -9487,         -6491,         -4995,         -3625,          -144,          -723,         -1792,         -1295,
  "59",         -4469,           767,         -1964,         -2316,           415,          -604,          3732,         -4096,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "60",         26108,         28805,          6283,          6518,          6356,          6951,          6655,          7173,
  "61",         29066,         31376,          6881,          7236,          7199,          7750,          7285,          7796,
  "62",         -2958,         -2571,          -598,          -718,          -843,          -799,          -630,          -623,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "63",          7665,          8413,          2044,          1986,          1600,          2035,          2253,          2144,
  "64",         25194,         27795,          5793,          6167,          6207,          7027,          6582,          6863,
  "65",        -17529,        -19382,         -3749,         -4181,         -4607,         -4992,         -4329,         -4719,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "66",        -49458,        -71532,         -8074,        -14303,        -15637,        -11444,        -15332,        -18261,
  "67",        -26330,        -53285,         -2751,         -8601,         -9699,         -5279,        -10783,        -13826,
  "68",        -19575,        -14727,         -6880,         -5021,         -2094,         -5580,         -2955,         -3961,
  "69",         -6755,        -38558,          4129,         -3580,         -7605,           301,         -7828,         -9864,
  "70",          2848,        -28691,          6410,         -1201,         -5155,          2794,         -5318,         -7365,
  "71",         -9603,         -9867,         -2281,         -2379,         -2450,         -2493,         -2510,         -2499,
  "72",        -23128,        -18247,         -5323,         -5702,         -5938,         -6165,         -4549,         -4435,
  "73",        -24662,        -20054,         -5617,         -6093,         -6276,         -6676,         -5011,         -4839,
  "74",          1534,          1806,           294,           391,           338,           511,           462,           404,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "75",        -39855,        -61665,         -5793,        -11924,        -13187,         -8951,        -12822,        -15762,
  "76",        -22221,        -23983,         -3449,         -6935,         -6985,         -4852,         -4100,         -6610,
  "77",        -13140,        -16001,         -2816,         -4132,         -3729,         -2463,         -5385,         -3522,
  "78",         -3025,        -10911,         -1914,            48,          -728,          -431,         -1864,         -3175,
  "79",         -1469,        -10770,          2386,          -905,         -1745,         -1205,         -1473,         -2455,
  "80",        -16727,        -43418,          -470,         -6222,         -7249,         -2786,         -8273,        -11327,
  "81",        -10339,        -14645,          -260,         -3690,         -3985,         -2404,         -1871,         -4413,
  "82",        -12368,        -15542,         -2596,         -3928,         -3525,         -2319,         -5240,         -3401,
  "83",           409,         -9468,         -1413,           730,           247,           845,         -1464,         -2784,
  "84",          5571,         -3763,          3799,           666,            14,          1092,           302,          -729,
  "85",        -23128,        -18247,         -5323,         -5702,         -5938,         -6165,         -4549,         -4435,
  "86",        -11882,         -9338,         -3189,         -3245,         -3000,         -2448,         -2229,         -2197,
  "87",          -772,          -460,          -220,          -204,          -204,          -144,          -145,          -121,
  "88",         -3434,         -1442,          -501,          -682,          -975,         -1276,          -400,          -391,
  "89",         -7040,         -7007,         -1413,         -1571,         -1759,         -2297,         -1775,         -1726,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "90",         39633,         81982,          9869,          2390,         14850,         12524,         34241,         25239,
  "91",         70326,         53932,         12717,         24009,         24318,          9282,         32710,          5338,
  "92",         84084,         63352,         17180,         25965,         27649,         13290,         33539,          9110,
  "93",        -13758,         -9420,         -4463,         -1956,         -3331,         -4008,          -829,         -3772,
  "94",          6755,         38558,         -4129,          3580,          7605,          -301,          7828,          9864,
  "95",        -37448,        -10506,          1281,        -25199,        -17073,          3543,         -6296,         10038,
  "96",        -22580,          2574,           729,        -12106,        -15762,          4559,         -1614,          7279,
  "97",        -14868,        -13081,           552,        -13093,         -1311,         -1016,         -4682,          2759,
    "",            "",            "",            "",            "",            "",            "",            "",            "",
  "98",         30030,         72115,          7588,            11,         12400,         10031,         31731,         22740,
  "99",          4444,         19206,           810,         -4983,          6158,          2459,          8523,         11359,
 "100",         10815,         16145,          -553,          3998,          4880,          2490,          5827,          4242,
 "101",         -3755,         15671,          -139,         -1409,         -1463,          -744,         12681,           272,
 "102",         18526,         21094,          7470,          2405,          2825,          5826,          4700,          6867,
 "103",         70326,         53932,         12717,         24009,         24318,          9282,         32710,          5338,
 "104",         31008,          8579,          3520,          8565,         14713,          4210,          3000,          2478,
 "105",          1844,          1230,            73,           214,           912,           645,           234,           270,
 "106",          8745,         24893,           816,          3935,          2336,          1658,         21781,          -191,
 "107",         28729,         19230,          8308,         11295,          6357,          2769,          7695,          2781,
 "108",         -2848,         28691,         -6410,          1201,          5155,         -2794,          5318,          7365,
 "109",          1086,          8578,         -3929,          1901,          3137,           -23,           693,          2829,
 "110",         11064,         14295,          2459,          3695,          3268,          1642,          5127,          3295,
 "111",         -6738,          4416,          -513,         -3360,          -829,         -2036,           480,           888,
 "112",         -8260,          1401,         -4427,         -1035,          -421,         -2377,          -982,           353,
