stcty,reg,div,stname,ctyname,time,popestimate,popest_nonhisp,popest_hisp,whiteac_tot,whiteac_nonhisp,whiteac_hisp,blackac_tot,blackac_nonhisp,blackac_hisp,aianac_tot,aianac_nonhisp,aianac_hisp,asiaac_tot,asiaac_nonhisp,asiaac_hisp,nhpiac_tot,nhpiac_nonhisp,nhpiac_hisp
18077,2,3,Indiana,Jefferson County,2,31705,31373,332,30946,30637,309,577,556,21,227,214,13,257,252,5,19,17,2
18079,2,3,Indiana,Jennings County,2,27554,27361,193,27201,27019,182,266,257,9,162,158,4,112,108,4,5,5,0
18081,2,3,Indiana,Johnson County,2,115209,113618,1591,113022,111497,1525,1111,1072,39,462,427,35,1196,1164,32,69,65,4
18083,2,3,Indiana,Knox County,2,39256,38934,322,38183,37892,291,836,816,20,205,195,10,238,237,1,33,31,2
18085,2,3,Indiana,Kosciusko County,2,74057,70335,3722,72942,69310,3632,606,578,28,431,371,60,514,502,12,30,23,7
18087,2,3,Indiana,LaGrange County,2,34909,33812,1097,34684,33624,1060,112,90,22,168,151,17,138,130,8,7,2,5
18089,2,3,Indiana,Lake County,2,484564,425436,59128,353659,298164,55495,126487,123700,2787,3477,2539,938,5197,4877,320,400,219,181
18091,2,3,Indiana,LaPorte County,2,110106,106704,3402,97775,94627,3148,11977,11771,206,909,839,70,681,656,25,66,47,19
18093,2,3,Indiana,Lawrence County,2,45922,45506,416,45467,45064,403,231,228,3,331,318,13,200,197,3,17,17,0
18095,2,3,Indiana,Madison County,2,133358,131365,1993,121838,120001,1837,11162,11045,117,891,815,76,659,628,31,66,50,16
18097,2,3,Indiana,Marion County,2,860454,827164,33290,633850,603596,30254,216453,214010,2443,5850,5088,762,15234,14857,377,930,757,173
18099,2,3,Indiana,Marshall County,2,45128,42464,2664,44654,42070,2584,224,188,36,286,249,37,228,224,4,26,11,15
18101,2,3,Indiana,Martin County,2,10369,10327,42,10321,10279,42,30,30,0,43,43,0,26,26,0,4,4,0
18103,2,3,Indiana,Miami County,2,36082,35604,478,34419,33999,420,1236,1198,38,669,641,28,201,194,7,21,19,2
18105,2,3,Indiana,Monroe County,2,120563,118328,2235,112219,110118,2101,4285,4187,98,893,840,53,4757,4703,54,134,116,18
18107,2,3,Indiana,Montgomery County,2,37629,37018,611,37065,36468,597,370,361,9,198,195,3,221,218,3,20,15,5
18109,2,3,Indiana,Morgan County,2,66689,66199,490,66300,65829,471,113,109,4,438,424,14,236,227,9,21,19,2
18111,2,3,Indiana,Newton County,2,14566,14144,422,14446,14038,408,39,36,3,102,99,3,48,47,1,14,6,8
18113,2,3,Indiana,Noble County,2,46275,42976,3299,45769,42525,3244,242,219,23,295,262,33,229,214,15,25,15,10
18115,2,3,Indiana,Ohio County,2,5623,5598,25,5577,5553,24,36,36,0,20,19,1,15,13,2,1,1,0
18117,2,3,Indiana,Orange County,2,19306,19198,108,19079,18983,96,163,146,17,129,122,7,48,46,2,8,7,1
18119,2,3,Indiana,Owen County,2,21786,21622,164,21597,21452,145,91,88,3,182,167,15,61,57,4,10,4,6
18121,2,3,Indiana,Parke County,2,17241,17137,104,16781,16683,98,388,384,4,130,126,4,54,53,1,8,8,0
18123,2,3,Indiana,Perry County,2,18899,18766,133,18551,18425,126,303,300,3,77,73,4,37,36,1,11,11,0
18125,2,3,Indiana,Pike County,2,12837,12763,74,12785,12713,72,23,21,2,43,43,0,24,24,0,6,6,0
18127,2,3,Indiana,Porter County,2,146798,139719,7079,143568,136685,6883,1706,1582,124,972,829,143,1723,1676,47,111,86,25
18129,2,3,Indiana,Posey County,2,27061,26943,118,26705,26596,109,294,291,3,135,128,7,71,70,1,4,4,0
18131,2,3,Indiana,Pulaski County,2,13755,13564,191,13556,13375,181,143,138,5,82,78,4,44,43,1,9,2,7
18133,2,3,Indiana,Putnam County,2,36019,35607,412,34599,34234,365,1159,1138,21,248,221,27,267,259,8,33,29,4
18135,2,3,Indiana,Randolph County,2,27401,27068,333,27221,26898,323,118,108,10,148,144,4,86,84,2,12,11,1
18137,2,3,Indiana,Ripley County,2,26523,26276,247,26321,26077,244,31,31,0,146,143,3,123,123,0,10,10,0
18139,2,3,Indiana,Rush County,2,18261,18169,92,18032,17942,90,143,142,1,107,107,0,108,107,1,6,6,0
18141,2,3,Indiana,St. Joseph County,2,265559,253002,12557,229527,217857,11670,32962,32287,675,2317,2044,273,4506,4375,131,312,242,70
18143,2,3,Indiana,Scott County,2,22960,22738,222,22863,22649,214,32,29,3,98,97,1,67,62,5,2,2,0
18145,2,3,Indiana,Shelby County,2,43445,42948,497,42726,42265,461,417,403,14,225,206,19,306,300,6,28,18,10
18147,2,3,Indiana,Spencer County,2,20391,20088,303,20176,19889,287,144,131,13,100,92,8,64,61,3,2,1,1
18149,2,3,Indiana,Starke County,2,23556,23042,514,23379,22884,495,84,73,11,171,147,24,89,82,7,9,9,0
18151,2,3,Indiana,Steuben County,2,33214,32531,683,32816,32163,653,171,161,10,230,212,18,174,169,5,11,11,0
18153,2,3,Indiana,Sullivan County,2,21751,21572,179,20700,20542,158,983,981,2,168,153,15,54,53,1,11,7,4
