table with row headers in column A and column headers in row 3,,,,,
"Table 8.  Illinois Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: July 1, 2001 to July 1, 2002",,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
German Valley village,Illinois,470,474,-4,-0.8
Germantown Hills village,Illinois,"2,400","2,248",152,6.8
Germantown village,Illinois,"1,121","1,119",2,0.2
Gibson city,Illinois,"3,325","3,354",-29,-0.9
Gifford village,Illinois,901,862,39,4.5
Gilberts village,Illinois,"1,383","1,294",89,6.9
Gillespie city,Illinois,"3,313","3,356",-43,-1.3
Gilman city,Illinois,"1,805","1,812",-7,-0.4
Girard city,Illinois,"2,228","2,234",-6,-0.3
Gladstone village,Illinois,285,287,-2,-0.7
Glasford village,Illinois,"1,040","1,051",-11,-1.0
Glasgow village,Illinois,170,170,-,-
Glen Carbon village,Illinois,"10,945","10,674",271,2.5
Glen Ellyn village,Illinois,"27,187","27,152",35,0.1
Glencoe village,Illinois,"8,892","8,854",38,0.4
Glendale Heights village,Illinois,"32,953","32,446",507,1.6
Glenview village,Illinois,"44,042","42,482","1,560",3.7
Glenwood village,Illinois,"8,934","8,974",-40,-0.4
Godfrey village,Illinois,"16,556","16,424",132,0.8
Godley village,Illinois,651,632,19,3.0
Golconda city,Illinois,697,711,-14,-2.0
Golden Gate village,Illinois,99,99,-,-
Golden village,Illinois,623,625,-2,-0.3
Golf village,Illinois,464,459,5,1.1
Good Hope village,Illinois,408,410,-2,-0.5
Goodfield village,Illinois,720,703,17,2.4
Goreville village,Illinois,960,950,10,1.1
Gorham village,Illinois,255,254,1,0.4
Grafton city,Illinois,623,613,10,1.6
Grand Ridge village,Illinois,533,538,-5,-0.9
Grand Tower city,Illinois,613,614,-1,-0.2
Grandview village,Illinois,"1,519","1,526",-7,-0.5
Granite City city,Illinois,"31,622","31,752",-130,-0.4
Grant Park village,Illinois,"1,409","1,378",31,2.2
Grantfork village,Illinois,257,257,-,-
Granville village,Illinois,"1,416","1,410",6,0.4
Grayslake village,Illinois,"20,865","19,923",942,4.7
Grayville city,Illinois,"1,677","1,704",-27,-1.6
Green Oaks village,Illinois,"3,796","3,759",37,1.0
Green Valley village,Illinois,710,717,-7,-1.0
Greenfield city,Illinois,"1,154","1,159",-5,-0.4
Greenup village,Illinois,"1,508","1,522",-14,-0.9
Greenview village,Illinois,841,852,-11,-1.3
Greenville city,Illinois,"7,077","7,056",21,0.3
Greenwood village,Illinois,249,246,3,1.2
Gridley village,Illinois,"1,419","1,416",3,0.2
Griggsville city,Illinois,"1,232","1,245",-13,-1.0
Gulf Port village,Illinois,216,214,2,0.9
Gurnee village,Illinois,"30,115","29,520",595,2.0
Hainesville village,Illinois,"2,834","2,520",314,12.5
Hamburg village,Illinois,124,125,-1,-0.8
Hamel village,Illinois,592,585,7,1.2
