table with row headers in column A and column headers in row 3,,,,,
"Table 8.  Illinois Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: July 1, 2001 to July 1, 2002",,,,,
Place,State,"July 1, 2002 Population","July 1, 2001 Population",Numerical Population Change,Percent Population Change
Sparta city,Illinois,"4,450","4,490",-40,-0.9
Spaulding village,Illinois,651,610,41,6.7
Spillertown village,Illinois,220,219,1,0.5
Spring Bay village,Illinois,497,464,33,7.1
Spring Grove village,Illinois,"4,403","4,179",224,5.4
Spring Valley city,Illinois,"5,378","5,377",1,-
Springerton village,Illinois,131,133,-2,-1.5
Springfield city,Illinois,"111,834","111,665",169,0.2
St. Anne village,Illinois,"1,191","1,200",-9,-0.8
St. Augustine village,Illinois,148,150,-2,-1.3
St. Charles city,Illinois,"30,963","29,433","1,530",5.2
St. David village,Illinois,572,579,-7,-1.2
St. Elmo city,Illinois,"1,421","1,434",-13,-0.9
St. Francisville city,Illinois,750,752,-2,-0.3
St. Jacob village,Illinois,880,837,43,5.1
St. Johns village,Illinois,217,218,-1,-0.5
St. Joseph village,Illinois,"3,059","2,986",73,2.4
St. Libory village,Illinois,589,586,3,0.5
St. Peter village,Illinois,383,383,-,-
Standard City village,Illinois,138,138,-,-
Standard village,Illinois,253,251,2,0.8
Stanford village,Illinois,672,678,-6,-0.9
Staunton city,Illinois,"5,023","5,036",-13,-0.3
Ste. Marie village,Illinois,261,262,-1,-0.4
Steeleville village,Illinois,"2,042","2,060",-18,-0.9
Steger village,Illinois,"9,971","9,815",156,1.6
Sterling city,Illinois,"15,332","15,427",-95,-0.6
Steward village,Illinois,267,268,-1,-0.4
Stewardson village,Illinois,743,746,-3,-0.4
Stickney village,Illinois,"6,101","6,126",-25,-0.4
Stillman Valley village,Illinois,"1,063","1,056",7,0.7
Stockton village,Illinois,"1,900","1,916",-16,-0.8
Stone Park village,Illinois,"5,105","5,124",-19,-0.4
Stonefort village,Illinois,290,291,-1,-0.3
Stonington village,Illinois,941,947,-6,-0.6
Stoy village,Illinois,118,118,-,-
Strasburg village,Illinois,596,597,-1,-0.2
Strawn village,Illinois,102,103,-1,-1.0
Streamwood village,Illinois,"37,654","37,529",125,0.3
Streator city,Illinois,"14,091","14,171",-80,-0.6
Stronghurst village,Illinois,878,888,-10,-1.1
Sublette village,Illinois,454,454,-,-
Sugar Grove village,Illinois,"5,418","4,462",956,21.4
Sullivan city,Illinois,"4,305","4,326",-21,-0.5
Summerfield village,Illinois,496,479,17,3.5
Summit village,Illinois,"10,569","10,619",-50,-0.5
Sumner city,Illinois,"1,012","1,014",-2,-0.2
Sun River Terrace village,Illinois,382,384,-2,-0.5
Swansea village,Illinois,"11,376","11,187",189,1.7
Sycamore city,Illinois,"12,747","12,344",403,3.3
Symerton village,Illinois,109,108,1,0.9
Table Grove village,Illinois,389,393,-4,-1.0
Tallula village,Illinois,633,635,-2,-0.3
Tamaroa village,Illinois,733,739,-6,-0.8
Tamms village,Illinois,"1,194","1,192",2,0.2
Tampico village,Illinois,760,769,-9,-1.2
Taylor Springs village,Illinois,585,583,2,0.3
Taylorville city,Illinois,"11,349","11,360",-11,-0.1
Tennessee village,Illinois,142,142,-,-
Teutopolis village,Illinois,"1,584","1,581",3,0.2
Thawville village,Illinois,271,265,6,2.3
Thayer village,Illinois,735,741,-6,-0.8
Thebes village,Illinois,466,471,-5,-1.1
Third Lake village,Illinois,"1,383","1,371",12,0.9
Thomasboro village,Illinois,"1,251","1,240",11,0.9
Thompsonville village,Illinois,577,571,6,1.1
Thomson village,Illinois,556,551,5,0.9
Thornton village,Illinois,"2,555","2,571",-16,-0.6
Tilden village,Illinois,917,921,-4,-0.4
Tilton village,Illinois,"2,932","2,952",-20,-0.7
Timberlane village,Illinois,258,253,5,2.0
Time village,Illinois,29,29,-,-
Tinley Park village,Illinois,"52,142","50,547","1,595",3.2
Tiskilwa village,Illinois,769,774,-5,-0.6
Toledo village,Illinois,"1,149","1,160",-11,-0.9
Tolono village,Illinois,"2,718","2,708",10,0.4
Toluca city,Illinois,"1,319","1,321",-2,-0.2
Tonica village,Illinois,688,689,-1,-0.1
Topeka village,Illinois,89,90,-1,-1.1
Toulon city,Illinois,"1,374","1,386",-12,-0.9
Tovey village,Illinois,506,509,-3,-0.6
Towanda village,Illinois,493,497,-4,-0.8
Tower Hill village,Illinois,604,603,1,0.2
Tower Lakes village,Illinois,"1,329","1,323",6,0.5
Tremont village,Illinois,"2,011","2,001",10,0.5
Trenton city,Illinois,"2,624","2,608",16,0.6
Trout Valley village,Illinois,604,602,2,0.3
Troy Grove village,Illinois,304,304,-,-
Troy city,Illinois,"8,871","8,701",170,2.0
Tuscola city,Illinois,"4,490","4,478",12,0.3
Ullin village,Illinois,756,764,-8,-1.0
Union Hill village,Illinois,65,65,-,-
Union village,Illinois,579,579,-,-
University Park village,Illinois,"6,993","6,813",180,2.6
Urbana city,Illinois,"38,241","37,971",270,0.7
Ursa village,Illinois,592,593,-1,-0.2
Valier village,Illinois,655,653,2,0.3
Valley City village,Illinois,14,14,-,-
Valmeyer village,Illinois,625,615,10,1.6
Vandalia city,Illinois,"6,865","6,905",-40,-0.6
Varna village,Illinois,431,431,-,-
Venedy village,Illinois,136,137,-1,-0.7
Venice city,Illinois,"2,506","2,520",-14,-0.6
Vergennes village,Illinois,492,490,2,0.4
Vermilion village,Illinois,232,236,-4,-1.7
Vermont village,Illinois,781,788,-7,-0.9
Vernon Hills village,Illinois,"21,839","21,223",616,2.9
Vernon village,Illinois,177,178,-1,-0.6
Verona village,Illinois,255,257,-2,-0.8
Versailles village,Illinois,559,564,-5,-0.9
Victoria village,Illinois,312,317,-5,-1.6
Vienna city,Illinois,"1,260","1,248",12,1.0
Villa Grove city,Illinois,"2,531","2,539",-8,-0.3
Villa Park village,Illinois,"23,120","23,213",-93,-0.4
Viola village,Illinois,941,946,-5,-0.5
Virden city,Illinois,"3,465","3,472",-7,-0.2
Virgil village,Illinois,287,277,10,3.6
Virginia city,Illinois,"1,724","1,727",-3,-0.2
Volo village,Illinois,195,191,4,2.1
Wadsworth village,Illinois,"3,345","3,245",100,3.1
Waggoner village,Illinois,248,247,1,0.4
Walnut Hill village,Illinois,108,109,-1,-0.9
Walnut village,Illinois,"1,435","1,440",-5,-0.3
Walshville village,Illinois,91,90,1,1.1
Waltonville village,Illinois,422,421,1,0.2
Wamac city,Illinois,"1,361","1,373",-12,-0.9
Wapella village,Illinois,635,643,-8,-1.2
Warren village,Illinois,"1,484","1,494",-10,-0.7
Warrensburg village,Illinois,"1,249","1,275",-26,-2.0
Warrenville city,Illinois,"13,375","13,380",-5,-
Warsaw city,Illinois,"1,722","1,767",-45,-2.5
Washburn village,Illinois,"1,125","1,133",-8,-0.7
Washington Park village,Illinois,"5,283","5,288",-5,-0.1
Washington city,Illinois,"11,907","11,778",129,1.1
Wataga village,Illinois,838,847,-9,-1.1
Waterloo city,Illinois,"8,468","8,227",241,2.9
Waterman village,Illinois,"1,214","1,220",-6,-0.5
Watseka city,Illinois,"5,610","5,628",-18,-0.3
Watson village,Illinois,732,731,1,0.1
Wauconda village,Illinois,"9,891","9,731",160,1.6
Waukegan city,Illinois,"91,323","89,791","1,532",1.7
Waverly city,Illinois,"1,313","1,326",-13,-1.0
Wayne City village,Illinois,"1,081","1,081",-,-
Wayne village,Illinois,"2,288","2,231",57,2.6
Waynesville village,Illinois,444,449,-5,-1.1
Weldon village,Illinois,432,436,-4,-0.9
Wellington village,Illinois,259,260,-1,-0.4
Wenona city,Illinois,"1,047","1,049",-2,-0.2
Wenonah village,Illinois,43,43,-,-
West Brooklyn village,Illinois,172,173,-1,-0.6
West Chicago city,Illinois,"25,133","24,640",493,2.0
West City village,Illinois,722,714,8,1.1
West Dundee village,Illinois,"6,697","6,594",103,1.6
West Frankfort city,Illinois,"8,253","8,226",27,0.3
West Peoria city,Illinois,"4,688","4,688",-,-
West Point village,Illinois,189,193,-4,-2.1
West Salem village,Illinois,973,985,-12,-1.2
Westchester village,Illinois,"16,862","16,813",49,0.3
Western Springs village,Illinois,"12,575","12,551",24,0.2
Westfield village,Illinois,673,674,-1,-0.1
Westmont village,Illinois,"24,747","24,677",70,0.3
Westville village,Illinois,"3,115","3,143",-28,-0.9
Wheaton city,Illinois,"55,352","55,465",-113,-0.2
Wheeler village,Illinois,119,119,-,-
Wheeling village,Illinois,"35,483","34,973",510,1.5
White City village,Illinois,218,219,-1,-0.5
White Hall city,Illinois,"2,588","2,594",-6,-0.2
Whiteash village,Illinois,271,270,1,0.4
Williamsfield village,Illinois,609,615,-6,-1.0
Williamson village,Illinois,250,250,-,-
Williamsville village,Illinois,"1,427","1,430",-3,-0.2
Willisville village,Illinois,685,691,-6,-0.9
Willow Hill village,Illinois,248,248,-,-
Willow Springs village,Illinois,"5,862","5,515",347,6.3
Willowbrook village,Illinois,"9,031","9,027",4,-
Wilmette village,Illinois,"27,531","27,597",-66,-0.2
Wilmington city,Illinois,"5,326","5,232",94,1.8
Wilmington village,Illinois,119,119,-,-
Wilsonville village,Illinois,595,598,-3,-0.5
Winchester city,Illinois,"1,627","1,640",-13,-0.8
Windsor city,Illinois,"1,096","1,104",-8,-0.7
Windsor village,Illinois,714,713,1,0.1
Winfield village,Illinois,"9,202","8,995",207,2.3
Winnebago village,Illinois,"2,996","2,992",4,0.1
Winnetka village,Illinois,"12,468","12,445",23,0.2
Winslow village,Illinois,334,339,-5,-1.5
Winthrop Harbor village,Illinois,"6,827","6,768",59,0.9
Witt city,Illinois,994,991,3,0.3
Wonder Lake village,Illinois,"1,513","1,413",100,7.1
Wood Dale city,Illinois,"13,560","13,569",-9,-0.1
Wood River city,Illinois,"11,208","11,245",-37,-0.3
Woodhull village,Illinois,809,804,5,0.6
Woodland village,Illinois,315,318,-3,-0.9
Woodlawn village,Illinois,633,630,3,0.5
Woodridge village,Illinois,"33,734","31,457","2,277",7.2
Woodson village,Illinois,561,560,1,0.2
Woodstock city,Illinois,"20,772","20,536",236,1.1
Worden village,Illinois,949,922,27,2.9
Worth village,Illinois,"11,018","11,060",-42,-0.4
Wyanet village,Illinois,"1,012","1,014",-2,-0.2
Wyoming city,Illinois,"1,397","1,410",-13,-0.9
Xenia village,Illinois,396,399,-3,-0.8
Yale village,Illinois,95,96,-1,-1.0
Yates City village,Illinois,712,719,-7,-1.0
Yorkville city,Illinois,"7,371","6,701",670,10.0
Zeigler city,Illinois,"1,671","1,648",23,1.4
Zion city,Illinois,"23,601","23,260",341,1.5
Note: Dash (-) represents zero or rounds to zero.  (X) represents blank values.,,,,,
Suggested Citation:,,,,,
"Table SUB-EST2002-08-17-Illinois Incorporated Place Population Estimates and Population Change, Sorted Alphabetically: July 1, 2001 to July 1, 2002",,,,,
"Source: Population Division, U.S. Census Bureau",,,,,
"Release Date:  July 10, 2003",,,,,
